Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
X18RES04138_1R_T_S_R_RS_T	0	0.186402974483326	0	0.168670174759625	0.237610711212059	0.424668516944948	0.0409814099992982	0	0	0	0.0538440679155957	0	0.105765306261903	0	0.214892086047212	0.412207302789873	0.0432553713945668	0	0.099016244828887	0	0	0.00346772495700523	9999	0.348828380923383	0.9391998384314	1.9907818915943
X18RES13642_1R_T_S_R_RS_T	0.0280923177823175	0.0935666862664038	0	0.0303194376864101	0	0.270630278278851	0.0201952771213235	0.140152670360098	0	0	0.0715513050236041	0	0.0257675998029325	0.0389170844025685	0.133524487373971	0.694949118174804	0	0	0	0	0	0.019437325288522	9999	0.348098410510892	0.940925951224372	1.56710358756181
X18RES04220_1R_T_S_R_RS_T	0	0.0214242755988982	0	0.0492643192009837	0	0.160634552680398	0	0.0887577311668777	0	0	0.00602321860531715	0.0292996086429284	0.0777999276141512	0	0.0142923667697282	0.326236942379005	0	0	0.046530338164808	0	0.00423936859084319	0	9999	0.111444457995364	1.04033859785975	0.824502649413939
X18RES10409_1R_T_S_R_RS_T	0	0.0124788253922372	0	0.0378100393946151	0	0.112595226885241	0	0.0364746838452023	0	0	0.00661074711306891	0.0101038576310652	0.017918377498046	0.445247801335813	0.00333673481135059	0.488877228949508	0	0	0.0865378900343666	0	0	0	9999	0.4184273317105	0.920331846403085	1.25799141289051
X18RES10398_1R_T_S_R_RS_T	0.00431802620211472	0.0127363059621017	0	0.0227249204058021	0.0118211696245996	0.70640160453164	0	0.00544944855038009	0	0	0.0549140986764495	0.0306086590721401	0.115527867104673	0	0.0792490555397268	0.189236723889172	0.0154103919632961	5.33480725041407e-05	0.070885413888248	0	0.00757575559339874	0	9999	0.190027998963504	1.01917966667604	1.32691278907625
X18RES16182_1R_T_S_R_RS_T	0	0.0205694801081024	0	0.0533123040008855	0.0155010809298795	0.0548958620847287	0	0.0179481319376968	0	0	0.0420880071671195	0	0.0333420366962914	0	0.00139173796292439	0.306551801699336	0.00207589937043203	0	0.106158229053802	0	0	0	9999	0.0498320268858201	1.06786346172947	0.653834571011199
X18RES16169_1R_T_S_R_RS_T	0	0.0289483151244726	0	0.0446459317517552	0	0.0386144747046041	0	0.0748439999562983	0.00591771161471422	0	0	0.0506366941762139	0.0204025678879197	0.293185221705778	0.0282020604693954	0.149243594159656	0	0	0	0.0769722066590676	0	0	9999	0.342889099908916	0.95286400571822	0.811612778209875
X18RES16067_1R_T_S_R_RS_T	0	0.182727590954752	0	0.0596931905499391	0	0.370346363601914	0.0397288232754298	0.0625439824486318	0	0	0.0583449358652808	0	0.0308262412252493	0	0.0790857904002433	0.326144926507792	0	0	0.12614926701463	0	0	0	9999	0.163301153938964	1.01356913313368	1.33559111184386
X18RES13653_1R_T_S_R_RS_T	0	0.322682559949094	0	0.038758584567992	0.105809607846047	0.378079730056712	0.024497579513545	0	0	0	0.0389117643058804	0	0.0319956791038958	0.0307398094351304	0.0127942133369381	0.241754237662795	0	0	0.0381802136690058	0	0	0	9999	0.129952884701199	1.04287104112557	1.26420397944704
X18RES16061_1R_T_S_R_RS_T	0.00921281745994873	0.0664765075880254	0	0.0459163026328069	0	0.176262465001253	0	0.071404108127461	0	0	0	0	0.00413635743410678	0	0.019088616080969	0.544112294351167	0.0375948496305183	0	0.0470676466173134	0	0	0	9999	0.19705245861248	1.01217218157751	1.02127196492357
X18RES13656_1R_T_S_R_RS_T	0	0.840439772095441	0	0	0.0874977480570412	0.52304831223411	0.0500687073799505	0	0	0	0.107578624030978	0	0.00945489853512213	0.0108002263195371	0.00969406896686011	0.300134107846705	0	0.00305389236339233	0.0453080818456424	0	0	0	9999	0.416426869164921	0.914674495208262	1.98707843967478
X18RES04251_1R_T_S_R_RS_T	0.0140664407768488	0.046181866701116	0	0.0273392239280361	0	0.39243933007121	0.0191008474242848	0.0605764407039098	0	0	0.12017784639284	0	0.0262175421274307	0.0766836214695102	0.116756364414084	0.485828098048083	0	0.0887132972459291	0.126005861899032	0	0	0.00470801835596452	9999	0.175316045846697	1.00980137415027	1.60479479955828
X18RES16164_1R_T_S_R_RS_T	0	0.0156838513201303	0	0.0509429708936175	0	0.208234813968198	0	0	0	0	0.0120641843447615	0.0318034398504313	0.0542912113105133	0.0337141569798121	0.00563789797266277	0.153412094133873	0	0	0.0965282013573878	0	0.00742005249478014	0	9999	-0.0131418811667529	1.08598498852192	0.669732874626167
X18RES13652_1R_T_S_R_RS_T	0	0.0115052454282754	0	0.0259847931456225	0	0.0836013807458837	0	0.0460251671322804	0	0	0	0.0144953024920316	0.0190159613447109	0.0265212281072054	0	0.124302912092522	0	0	0.115427741119645	0	0.00404073565647995	0	9999	0.0110539089063901	1.07974165034338	0.470920467264656
