gene_id,gene_id,18RES04138_1R_T_S_R_RS_T,18RES13642_1R_T_S_R_RS_T,18RES04220_1R_T_S_R_RS_T,18RES10409_1R_T_S_R_RS_T,18RES10398_1R_T_S_R_RS_T,18RES16182_1R_T_S_R_RS_T,18RES16169_1R_T_S_R_RS_T,18RES16067_1R_T_S_R_RS_T,18RES13653_1R_T_S_R_RS_T,18RES16061_1R_T_S_R_RS_T,18RES13656_1R_T_S_R_RS_T,18RES04251_1R_T_S_R_RS_T,18RES16164_1R_T_S_R_RS_T,18RES13652_1R_T_S_R_RS_T,18RES10382_1R_T_S_R_RS_T,18RES16068_1R_T_S_R_RS_T,18RES04885_1R_T_S_R_RS_T,18RES10394_1R_T_S_R_RS_T,18RES04401_1R_T_S_R_RS_T,18RES04366_1R_T_S_R_RS_T,18RES13639_1R_T_S_R_RS_T,18RES10403_1R_T_S_R_RS_T,18RES16043_1R_T_S_R_RS_T,18RES10389_1R_T_S_R_RS_T,18RES04369_1R_T_S_R_RS_T,18RES04371_1R_T_S_R_RS_T,18RES10414_1R_T_S_R_RS_T,18RES16168_1R_T_S_R_RS_T,18RES04364_1R_T_S_R_RS_T,18RES10402_1R_T_S_R_RS_T,18RES04129_1R_T_S_R_RS_T,18RES10417_1R_T_S_R_RS_T,18RES13654_1R_T_S_R_RS_T,18RES10388_1R_T_S_R_RS_T,18RES13645_1R_T_S_R_RS_T,18RES10413_1R_T_S_R_RS_T,18RES16179_1R_T_S_R_RS_T,18RES10395_1R_T_S_R_RS_T,18RES04254_1R_T_S_R_RS_T,18RES13580_1R_T_S_R_RS_T,18RES13578_1R_T_S_R_RS_T,18RES04410_1R_T_S_R_RS_T,18RES10401_1R_T_S_R_RS_T,18RES13651_1R_T_S_R_RS_T,18RES10393_1R_T_S_R_RS_T,18RES09403_1R_T_S_R_RS_T,18RES10392_1R_T_S_R_RS_T,18RES04367_1R_T_S_R_RS_T,18RES10426_1R_T_S_R_RS_T,18RES13663_1R_T_S_R_RS_T,18RES10430_2R_T_S_R_RS_T,18RES04260_1R_T_S_R_RS_T,18RES04370_1R_T_S_R_RS_T,18RES04227_1R_T_S_R_RS_T,18RES04403_1R_T_S_R_RS_T,18RES04139_1R_T_S_R_RS_T,18RES04258_1R_T_S_R_RS_T,18RES10383_1R_T_S_R_RS_T,18RES16066_1R_T_S_R_RS_T,18RES10405_1R_T_S_R_RS_T,18RES10418_1R_T_S_R_RS_T,18RES04413_1R_T_S_R_RS_T,18RES10428_1R_T_S_R_RS_T,18RES09402_1R_T_S_R_RS_T,18RES04229_1R_T_S_R_RS_T,18RES04372_1R_T_S_R_RS_T,18RES04368_1R_T_S_R_RS_T,18RES10399_1R_T_S_R_RS_T,18RES09394_1R_T_S_R_RS_T,18RES04249_1R_T_S_R_RS_T,18RES16069_1R_T_S_R_RS_T,18RES13572_1R_T_S_R_RS_T,18RES10385_1R_T_S_R_RS_T,18RES04887_1R_T_S_R_RS_T,18RES09399_1R_T_S_R_RS_T,18RES04404_1R_T_S_R_RS_T,18RES04728_1R_T_S_R_RS_T,18RES04250_1R_T_S_R_RS_T,18RES04408_1R_T_S_R_RS_T,18RES09404_1R_T_S_R_RS_T,18RES04407_1R_T_S_R_RS_T,18RES04226_1R_T_S_R_RS_T,18RES04412_1R_T_S_R_RS_T
35,ICA1,56.198653,25.596583,51.78668,23.369523,59.551933,88.401248,22.674508,49.073586,62.346604000000006,97.598019,29.161278000000003,36.004247,82.62223399999999,40.57875,149.797639,96.417237,91.42778100000001,124.51889399999999,150.19493899999998,122.66573100000001,26.228296000000004,41.047137,56.091236,102.747188,88.15311700000001,89.574841,103.262899,40.536572,51.298564,246.36539700000003,55.818166000000005,124.12380800000001,97.481787,114.95501999999999,24.15881,99.68991,58.942762,60.450031,193.64429199999998,50.997679999999995,59.218417,63.99641999999999,40.904957,103.129284,60.683867000000006,32.847943,32.873375,99.259529,39.721384,52.411297999999995,59.25079100000001,31.845022999999998,46.382013,35.916677,56.445280000000004,16.576809,15.413387,82.08671899999999,32.669833000000004,84.421329,131.094807,22.866657,42.503958000000004,67.042715,109.55953500000001,66.383723,38.999472999999995,125.074389,57.886448,23.346152,63.672702,51.484318,78.424093,101.990494,79.53620500000001,54.960864,121.6325,44.829322,235.23895699999997,71.614805,96.890731,32.124328000000006,154.937224
50,CD38,16.347652,16.169023000000003,3.793362,3.9538300000000004,6.3666730000000005,0.9442719999999999,5.545668,42.01783,5.038622,2.673848,28.637258000000003,29.876382,1.1394520000000001,1.167149,1.4909,5.156447,3.326696,18.889368,2.4929349999999997,5.642258999999999,25.406723,11.324997999999999,5.907175,18.829275,16.648148000000003,46.033379,3.784642,57.405046,24.812524,9.588558,5.783216,4.898475,1.110352,2.106267,31.291128000000004,21.324835999999998,4.284321,3.373734,6.482245,5.5423230000000006,0.8336620000000001,10.938723,3.5708620000000004,13.02314,0.611097,23.445397,18.250657,4.696695,8.779686,21.095663000000002,12.929864,5.253455000000001,3.785301,10.640372,1.287284,4.1510940000000005,0.438255,10.351613,2.0579509999999996,1.62884,1.408398,3.6848910000000004,3.191796,2.703157,1.251279,4.097718,8.947407,1.055898,20.113064,11.124596,11.784104,13.581470000000001,22.225451,9.03779,2.482269,3.663036,3.2282450000000003,3.726773,2.562698,2.861054,3.494946,1.1615469999999999,7.1021600000000005
99,ABCB4,8.862505,2.9465689999999998,1.462947,2.382215,2.244002,7.078722999999999,4.852407,4.62005,10.431981,5.693846,13.241412,4.611891,5.778434,6.352771,4.599207,2.629216,2.345776,5.644063,3.4872769999999997,4.5041,35.113045,1.654725,5.339129,4.101157,8.437208,5.755744,5.077033999999999,3.8522839999999996,2.608796,2.124844,6.099871,6.705597999999999,5.799513,4.283546,19.225921,8.150414,5.564181,1.5539020000000001,5.284468,1.347809,1.838039,1.316798,0.178731,6.353802,6.683184,4.217033,6.287996,4.765998000000001,4.336936,26.173084,5.438942,2.67278,4.9807440000000005,2.249289,12.777328,1.570398,2.366809,1.109059,1.957455,6.966842999999999,2.950438,2.089722,4.331585,2.84376,5.415948,5.69339,2.2176240000000003,3.2137290000000003,7.280985,6.336583999999999,1.36758,1.625916,4.411973000000001,3.817782,3.047111,1.1965860000000001,13.579070999999999,1.498573,3.735433,9.82746,4.977107,1.372417,5.090763
181,CD79B,2.823441,4.362985,0.8432620000000001,1.0585040000000001,2.074725,0.8338709999999999,1.0908200000000001,3.3689660000000003,6.242907,2.268237,21.478067000000003,1.446173,0.45975600000000005,0.23734699999999997,0.241869,0.833469,1.090698,2.180272,0.221297,0.362933,33.204079,2.645266,0.8266819999999999,1.077567,4.233753,4.012633999999999,0.368014,7.203253999999999,5.242861,0.512179,1.220325,1.186113,0.43015,0.39455300000000004,25.364860999999998,4.633992,2.085999,0.498097,1.645829,1.6955,0.280912,1.005075,0.256598,8.221733,0.14794100000000002,3.4902800000000003,1.548437,0.803501,2.744738,35.827113,4.483299,4.004205000000001,0.8483229999999999,2.87952,0.541597,0.722688,0.275674,1.373212,1.1266559999999999,0.601414,0.512617,1.3883510000000001,1.400043,2.0798970000000003,0.400956,1.8345360000000002,1.022326,0.338592,8.846172,1.944323,0.934366,1.968477,2.090313,1.514669,1.033002,1.763382,0.47544200000000003,0.381738,0.784259,0.7897350000000001,2.332446,0.6504340000000001,0.973924
223,PGLYRP1,4.426814,3.674793,4.981143,3.871064,6.327143,3.819056,2.920827,5.206353,5.9184849999999996,2.982269,5.696249,2.981643,2.4511380000000003,4.131972,2.17508,4.244833,2.935192,2.063787,3.084543,4.2624699999999995,4.903934,2.7988869999999997,4.863929,0.873184,2.296592,1.5225950000000001,7.434563000000001,3.259976,2.594599,2.985255,3.8092989999999998,2.10411,3.102466,5.429442,5.119564,2.334073,3.200376,2.17663,6.873326,0.798485,6.2065980000000005,1.390569,2.8238659999999998,4.697013,3.3942930000000002,4.657362,2.122864,2.8591439999999997,3.8011660000000003,4.588953,4.384784,2.970159,3.956552,2.665036,5.548108999999999,2.655404,2.441936,1.584186,4.163730999999999,4.6799349999999995,4.231508,2.6217479999999997,3.310939,4.120648,5.416695,6.055079,4.004523000000001,2.761748,5.0529209999999996,2.635061,1.703063,1.8197849999999998,1.219116,1.923101,7.920161,3.423406,3.185652,3.648468,1.326519,5.128975,2.771636,3.23142,5.600954
226,MMP25,14.518926,15.070096,5.495748000000001,5.22136,19.027005,7.045489,8.721618,10.273566,16.943077,24.026287,11.652087,10.036667,22.641256,10.896613,10.429642999999999,7.070121,9.732647,11.005828,15.505875,28.589806,25.277262,3.2152689999999997,15.722829,4.290603,8.20814,6.882961999999999,9.010813,12.762048,5.053224,6.999664,8.695435,7.919816,2.350556,15.108253,24.153701,7.7597179999999994,13.35895,6.38054,11.749263000000001,6.860589999999999,11.734096000000001,10.640413,4.5120190000000004,12.104984,16.297696,10.693788,7.0869789999999995,11.704405,14.690154999999999,18.955448,7.152558999999999,5.124917,9.73668,5.794918,8.680923,7.249238,5.995851,6.455389,12.024671000000001,3.9776569999999998,7.851811,5.013357,13.140932999999999,4.452701,8.05719,16.401191,7.233364,3.727675,9.236266,5.712397,5.248141,6.25287,10.458065,9.336346,11.032035,8.511203,8.766701,12.009576,6.449152,8.600407,5.394046,8.63964,33.71696
239,PAX7,3.783578,0.0,3.094909,1.392385,0.0,21.059051,0.0,0.0,0.025458,0.10326199999999999,0.059290999999999996,0.024534999999999998,0.0,0.0,0.023822,0.625095,0.0,1.864843,0.086185,0.021687,0.0,0.0,0.020551,8.175482,0.388764,2.225075,0.0,0.0,0.049343,0.011053,0.827061,0.165135,0.041178,0.036585,0.0,0.931527,0.0,7.398358999999999,0.016444999999999998,0.500866,0.0,0.0,0.0,26.994064,0.022473,0.24413200000000002,0.0,0.0,0.018153,0.250605,0.5881850000000001,0.0,0.0,4.616554,0.625146,0.040994,0.041835000000000004,0.550028,0.0,0.015059000000000001,0.031927,0.0,1.405082,0.0,0.0,0.075047,22.996406,0.771471,0.0,0.068242,0.0,0.011274,2.923837,0.0,0.0,0.055367999999999994,0.367614,1.476902,1.006952,0.0,0.008927,10.423745,0.008042
260,GIPR,3.04888,1.411214,1.0375219999999998,1.821479,1.742868,0.919542,0.857556,2.592924,11.616721,5.33761,1.33745,2.925791,6.417254,2.447253,13.824101999999998,2.52662,2.120336,3.22003,1.9458259999999998,12.383413000000001,3.554987,1.546291,3.9884410000000003,6.334673,3.160878,4.524687,1.046602,3.2791230000000002,2.496929,0.935616,1.988863,7.695567,3.785414,2.291604,3.2951699999999997,2.0380580000000004,2.3363270000000003,1.231951,2.6962479999999998,0.195422,6.3620779999999995,0.8924540000000001,0.46293599999999996,1.89464,2.542491,3.306483,0.708565,8.379016,3.888054,3.526939,3.7024660000000003,1.799707,2.68337,0.594396,6.254477,1.972841,0.38166300000000003,0.78091,2.471324,3.564544,6.394076,0.97645,1.639523,2.310398,3.0410310000000003,3.9692519999999996,1.172857,2.77821,3.441846,4.269226000000001,0.817077,1.277888,7.205961,2.375566,2.279048,0.687949,1.6497389999999998,0.795201,6.7032929999999995,3.8558550000000005,4.536487,0.27018600000000004,3.918426
270,CD4,48.403634000000004,78.599441,22.324920000000002,75.185787,25.143747,17.436498999999998,39.898481,34.120955,25.349946,24.641548999999998,50.328790000000005,32.487957,8.973213000000001,10.674632,32.734792,13.342519,37.455763,40.635915999999995,10.224273,12.530606,108.29926100000002,16.332235,20.508708,29.85158,44.501191999999996,43.978146,23.217942999999998,47.668209999999995,27.155448,15.198236999999999,28.279901000000002,26.749854,2.493216,13.509635999999999,76.927391,43.945741999999996,27.529387,12.445888,36.197236,8.215369,9.6027,24.155454000000002,11.472656,29.519989000000002,18.102547,49.035503000000006,42.428256,18.481586,37.398845,85.76086,36.134508000000004,21.945964,25.152662,35.797051,25.69205,22.773238,10.111526,15.897306,18.266317,32.541682,22.78751,17.81586,28.933169,7.872839999999999,17.439732,16.640155,42.302326,22.334768,20.982409,40.374221,15.651626,20.770621,38.870985,30.998833,8.387007,37.95026,35.772037,19.439458,10.430192,9.800832000000002,28.003161,8.923594999999999,21.257939
309,ZBTB32,7.5524759999999995,13.057899,8.306284,3.357136,5.920829,6.137498,7.390682000000001,6.329005,18.679529000000002,7.205017,12.630366,5.103914,3.272679,8.200853,6.570512,5.588737,22.301503,4.85743,3.707962,12.946629,9.698617,4.888726,5.076022,1.842053,5.336558999999999,4.605765,7.058305000000001,9.999278,4.194044,5.096025,5.251964,4.56334,3.500719,14.239629,9.84246,8.571613000000001,2.9011259999999996,2.5986029999999998,6.091982,5.575093,8.819504,9.887834,5.57995,7.902009,3.625256,8.675486,5.549771,4.360967,5.0838790000000005,7.809798,3.7829589999999995,5.124465,9.102567,6.80674,6.7464710000000006,7.911157000000001,3.760066,2.394975,2.372866,4.580102,12.84783,4.864279,3.202242,3.4422089999999996,5.375262,5.718051,24.473485999999998,3.320582,6.765755,3.1117790000000003,4.695629,10.735335000000001,2.637636,6.015144,8.17998,4.734205,12.432982,14.8888,1.128699,6.129303,6.4458,12.641253,8.993967999999999
