gene_id,gene_id,18RES04138_1R_T_S_R_RS_T,18RES13642_1R_T_S_R_RS_T,18RES04220_1R_T_S_R_RS_T,18RES10409_1R_T_S_R_RS_T,18RES10398_1R_T_S_R_RS_T,18RES16182_1R_T_S_R_RS_T,18RES16169_1R_T_S_R_RS_T,18RES16067_1R_T_S_R_RS_T,18RES13653_1R_T_S_R_RS_T,18RES16061_1R_T_S_R_RS_T,18RES13656_1R_T_S_R_RS_T,18RES04251_1R_T_S_R_RS_T,18RES16164_1R_T_S_R_RS_T,18RES13652_1R_T_S_R_RS_T,18RES10382_1R_T_S_R_RS_T,18RES16068_1R_T_S_R_RS_T,18RES04885_1R_T_S_R_RS_T,18RES10394_1R_T_S_R_RS_T,18RES04401_1R_T_S_R_RS_T,18RES04366_1R_T_S_R_RS_T,18RES13639_1R_T_S_R_RS_T,18RES10403_1R_T_S_R_RS_T,18RES16043_1R_T_S_R_RS_T,18RES10389_1R_T_S_R_RS_T,18RES04369_1R_T_S_R_RS_T,18RES04371_1R_T_S_R_RS_T,18RES10414_1R_T_S_R_RS_T,18RES16168_1R_T_S_R_RS_T,18RES04364_1R_T_S_R_RS_T,18RES10402_1R_T_S_R_RS_T,18RES04129_1R_T_S_R_RS_T,18RES10417_1R_T_S_R_RS_T,18RES13654_1R_T_S_R_RS_T,18RES10388_1R_T_S_R_RS_T,18RES13645_1R_T_S_R_RS_T,18RES10413_1R_T_S_R_RS_T,18RES16179_1R_T_S_R_RS_T,18RES10395_1R_T_S_R_RS_T,18RES04254_1R_T_S_R_RS_T,18RES13580_1R_T_S_R_RS_T,18RES13578_1R_T_S_R_RS_T,18RES04410_1R_T_S_R_RS_T,18RES10401_1R_T_S_R_RS_T,18RES13651_1R_T_S_R_RS_T,18RES10393_1R_T_S_R_RS_T,18RES09403_1R_T_S_R_RS_T,18RES10392_1R_T_S_R_RS_T,18RES04367_1R_T_S_R_RS_T,18RES10426_1R_T_S_R_RS_T,18RES13663_1R_T_S_R_RS_T,18RES10430_2R_T_S_R_RS_T,18RES04260_1R_T_S_R_RS_T,18RES04370_1R_T_S_R_RS_T,18RES04227_1R_T_S_R_RS_T,18RES04403_1R_T_S_R_RS_T,18RES04139_1R_T_S_R_RS_T,18RES04258_1R_T_S_R_RS_T,18RES10383_1R_T_S_R_RS_T,18RES16066_1R_T_S_R_RS_T,18RES10405_1R_T_S_R_RS_T,18RES10418_1R_T_S_R_RS_T,18RES04413_1R_T_S_R_RS_T,18RES10428_1R_T_S_R_RS_T,18RES09402_1R_T_S_R_RS_T,18RES04229_1R_T_S_R_RS_T,18RES04372_1R_T_S_R_RS_T,18RES04368_1R_T_S_R_RS_T,18RES10399_1R_T_S_R_RS_T,18RES09394_1R_T_S_R_RS_T,18RES04249_1R_T_S_R_RS_T,18RES16069_1R_T_S_R_RS_T,18RES13572_1R_T_S_R_RS_T,18RES10385_1R_T_S_R_RS_T,18RES04887_1R_T_S_R_RS_T,18RES09399_1R_T_S_R_RS_T,18RES04404_1R_T_S_R_RS_T,18RES04728_1R_T_S_R_RS_T,18RES04250_1R_T_S_R_RS_T,18RES04408_1R_T_S_R_RS_T,18RES09404_1R_T_S_R_RS_T,18RES04407_1R_T_S_R_RS_T,18RES04226_1R_T_S_R_RS_T,18RES04412_1R_T_S_R_RS_T
181,CD79B,2.823441,4.362985,0.8432620000000001,1.0585040000000001,2.074725,0.8338709999999999,1.0908200000000001,3.3689660000000003,6.242907,2.268237,21.478067000000003,1.446173,0.45975600000000005,0.23734699999999997,0.241869,0.833469,1.090698,2.180272,0.221297,0.362933,33.204079,2.645266,0.8266819999999999,1.077567,4.233753,4.012633999999999,0.368014,7.203253999999999,5.242861,0.512179,1.220325,1.186113,0.43015,0.39455300000000004,25.364860999999998,4.633992,2.085999,0.498097,1.645829,1.6955,0.280912,1.005075,0.256598,8.221733,0.14794100000000002,3.4902800000000003,1.548437,0.803501,2.744738,35.827113,4.483299,4.004205000000001,0.8483229999999999,2.87952,0.541597,0.722688,0.275674,1.373212,1.1266559999999999,0.601414,0.512617,1.3883510000000001,1.400043,2.0798970000000003,0.400956,1.8345360000000002,1.022326,0.338592,8.846172,1.944323,0.934366,1.968477,2.090313,1.514669,1.033002,1.763382,0.47544200000000003,0.381738,0.784259,0.7897350000000001,2.332446,0.6504340000000001,0.973924
223,PGLYRP1,4.426814,3.674793,4.981143,3.871064,6.327143,3.819056,2.920827,5.206353,5.9184849999999996,2.982269,5.696249,2.981643,2.4511380000000003,4.131972,2.17508,4.244833,2.935192,2.063787,3.084543,4.2624699999999995,4.903934,2.7988869999999997,4.863929,0.873184,2.296592,1.5225950000000001,7.434563000000001,3.259976,2.594599,2.985255,3.8092989999999998,2.10411,3.102466,5.429442,5.119564,2.334073,3.200376,2.17663,6.873326,0.798485,6.2065980000000005,1.390569,2.8238659999999998,4.697013,3.3942930000000002,4.657362,2.122864,2.8591439999999997,3.8011660000000003,4.588953,4.384784,2.970159,3.956552,2.665036,5.548108999999999,2.655404,2.441936,1.584186,4.163730999999999,4.6799349999999995,4.231508,2.6217479999999997,3.310939,4.120648,5.416695,6.055079,4.004523000000001,2.761748,5.0529209999999996,2.635061,1.703063,1.8197849999999998,1.219116,1.923101,7.920161,3.423406,3.185652,3.648468,1.326519,5.128975,2.771636,3.23142,5.600954
226,MMP25,14.518926,15.070096,5.495748000000001,5.22136,19.027005,7.045489,8.721618,10.273566,16.943077,24.026287,11.652087,10.036667,22.641256,10.896613,10.429642999999999,7.070121,9.732647,11.005828,15.505875,28.589806,25.277262,3.2152689999999997,15.722829,4.290603,8.20814,6.882961999999999,9.010813,12.762048,5.053224,6.999664,8.695435,7.919816,2.350556,15.108253,24.153701,7.7597179999999994,13.35895,6.38054,11.749263000000001,6.860589999999999,11.734096000000001,10.640413,4.5120190000000004,12.104984,16.297696,10.693788,7.0869789999999995,11.704405,14.690154999999999,18.955448,7.152558999999999,5.124917,9.73668,5.794918,8.680923,7.249238,5.995851,6.455389,12.024671000000001,3.9776569999999998,7.851811,5.013357,13.140932999999999,4.452701,8.05719,16.401191,7.233364,3.727675,9.236266,5.712397,5.248141,6.25287,10.458065,9.336346,11.032035,8.511203,8.766701,12.009576,6.449152,8.600407,5.394046,8.63964,33.71696
332,CLDN11,15.531243,1.472312,3.5477480000000003,1.363997,0.731334,4.099826,4.431317,1.7543080000000002,0.761519,6.022241,4.669543,0.816199,2.410066,0.405405,2.041179,1.698921,9.963014999999999,1.773952,5.24234,2.213498,0.26319699999999996,1.2140030000000002,7.496319000000001,1.141508,8.773767,4.62514,2.351848,2.21808,3.9356400000000002,0.698732,10.157159,0.792324,0.49762700000000004,3.266838,1.225403,3.08641,1.598894,2.563828,5.055214,0.849807,0.442275,0.910344,0.353175,1.044234,2.852545,26.901003999999997,0.863884,7.057230000000001,13.272996,1.466984,9.359859,30.580537,2.213937,5.924918,1.2229510000000001,1.197785,1.009739,1.294247,15.286214000000001,2.469546,3.7645470000000003,2.613695,4.483441,17.998735,2.030508,9.482222,1.353115,3.307584,15.262893,13.587691,0.280455,0.60496,5.739072,1.1420290000000002,13.255045999999998,8.772325,0.781561,0.8839670000000001,6.2128190000000005,15.055306,22.208160999999997,1.42232,2.125653
531,STAP1,3.534896,3.00433,1.236206,0.9356120000000001,2.1978590000000002,0.0,0.6049979999999999,8.173319000000001,12.394259,2.407181,38.314857,6.933644999999999,0.44812799999999997,0.933265,1.0135399999999999,1.358155,1.69603,4.43745,1.257484,2.6549810000000003,47.077616,4.990048000000001,3.588082,2.0796900000000003,7.861028999999999,2.678527,2.811307,11.242051,3.8960589999999997,0.9996,5.056895,3.255614,0.9340350000000001,0.8987629999999999,35.977982,10.248649,2.475444,1.426731,2.054279,0.9105030000000001,0.32329,1.338516,0.28523699999999996,8.759067,0.399981,1.6781169999999999,3.1598349999999997,1.6003180000000001,3.991503,40.710964000000004,5.6912080000000005,4.83268,0.719475,2.94882,1.406032,1.132434,0.200312,1.9467189999999999,0.9397409999999999,1.4225510000000001,0.47849200000000003,0.89741,2.988457,1.393234,0.338329,3.152859,1.2313370000000001,1.2496180000000001,11.997611000000001,3.034369,2.1454560000000003,3.3372290000000002,3.245839,3.426732,2.197234,3.023393,0.7401800000000001,1.804571,0.572034,0.73123,1.466877,0.247716,1.629345
545,FLT4,19.989773,11.554447,17.035316,3.3679620000000003,8.715257000000001,8.708347999999999,6.118025,5.249404,12.386115,11.499019,26.436915000000003,8.925543,9.041837,4.008706,6.7057139999999995,4.204488,16.918536,7.635246,14.629809,7.935444,10.921334,5.807671,12.173404,4.216837,11.673426,9.440488,10.092388,6.385495,9.984601,18.026574,6.233499,3.7349639999999997,5.340097,7.365261,33.223025,20.313817999999998,8.348539,16.848823,7.932423,4.2958050000000005,13.022416999999999,7.289159,6.161499,13.776391,5.608823,18.83109,4.3439440000000005,8.220113000000001,12.363892,16.233728,23.276652,15.677709,8.101165,14.955307000000001,13.411287,9.095464,4.8671739999999994,4.900079,21.627098999999998,6.406691,8.427392999999999,16.009729,10.953914,29.990884,6.044786,17.528857000000002,9.750485000000001,8.480922999999999,15.402782,15.67787,3.925143,4.176352,6.486295,9.492469999999999,19.914255999999998,7.671908,5.938952,8.724127000000001,10.039798,14.310729,12.597357,9.590246,5.358206
561,MSR1,66.655429,118.351468,77.13792,284.271183,29.302821999999995,65.29691700000001,29.831159000000003,58.629892000000005,31.729333,58.93278000000001,25.567006,96.593666,25.03119,80.223534,85.399893,41.149451,43.659048,121.20326000000001,35.049735999999996,63.074597999999995,2.516628,48.82695,40.364175,82.19548,50.373001,94.307102,112.137029,56.65235500000001,48.77352,37.444068,95.461084,71.102586,6.591969000000001,49.704857000000004,9.07283,144.017612,90.424729,28.341315,85.638951,24.56525,47.432458000000004,58.202263,30.398328999999997,30.677308,76.545761,65.54581,112.40828799999998,69.920558,75.37964000000001,19.861541,33.009801,37.636649,46.606792999999996,132.742726,99.003489,66.657912,42.005063,53.124825,38.345354,82.051885,70.408519,89.447373,57.306563,27.755814,54.83025799999999,32.93741,99.859276,90.633214,22.14612,94.968571,37.100424,51.100703,84.778707,64.00448100000001,24.475747,76.294291,147.000598,106.22606200000001,28.252103,39.975392,57.533882999999996,39.929309,33.536534
677,FOXP3,12.974724,20.161563,5.015214,3.253381,6.589057,5.879402,6.357522,9.8692,5.275136,4.006988,8.794661,11.437232,2.543704,1.4782440000000001,3.811514,5.295456,13.702423999999999,8.858721000000001,3.8599370000000004,5.115914,22.064837,5.675038,5.58606,10.043329,10.198221,9.419993,8.882439,12.304772,4.510579,3.953289,5.920815,11.997785,2.683194,3.7006910000000004,19.291067,11.343353,3.701603,3.054052,9.06515,4.156327,3.5302800000000003,6.751258,2.222816,10.907437,1.687484,8.030356,16.577016,4.484203,4.712879,17.073368,6.529017,3.0284619999999998,8.126095,9.128514,8.376353,7.848926,1.7318470000000001,3.641653,3.173895,6.1174230000000005,2.8806990000000003,4.888641000000001,4.756941,2.179668,4.295921,4.24062,9.335932000000001,2.831178,4.139863,3.322337,5.210612,7.696719,7.645875,11.846311,4.589072,4.648261,3.6812910000000003,4.529422,6.062504,3.5230230000000002,4.451308999999999,9.463425,6.566666000000001
933,DGKA,160.464055,89.803438,44.174343,52.730849,113.65934299999999,61.95642900000001,74.830331,102.14449599999999,130.670927,69.491313,239.186579,59.916571,100.578583,29.218133,47.959138,54.244536,78.455031,104.665213,38.35122,21.695191,538.8117,41.56357,64.439675,79.11567,173.140826,71.85861,28.037141,81.196113,40.786339,104.95013,65.112602,86.106752,19.751434,47.634305,442.070906,118.850921,90.332027,41.163769,67.392938,50.151192,26.130515,35.626451,18.28515,113.03876499999998,50.794283,68.881875,55.836659,63.139931000000004,90.689812,426.032932,94.056844,81.804801,43.533919,46.664394,97.985184,41.257544,13.534982000000001,24.183814,54.945075,61.847618999999995,42.657542,38.645101000000004,47.979726,24.121023,48.82782,100.41435,99.255758,29.298678999999996,76.27319,46.264796000000004,99.275586,44.268039,58.185625,65.161675,54.637983,57.893615000000004,27.291814000000002,38.082824,50.400267,87.573336,59.173784999999995,32.495594,57.057128000000006
1290,SLC12A1,6.4696419999999994,0.9188559999999999,0.9492209999999999,3.171577,5.048992,0.67191,0.083209,1.7121680000000001,2.301356,4.917301999999999,3.915107,5.514867,1.2700850000000001,0.6610689999999999,2.617467,1.352259,8.769942,1.8408900000000001,6.146351999999999,3.807837,0.527045,0.5027229999999999,4.620331,1.48012,3.738815,1.505493,2.363337,14.596226000000001,8.953496000000001,2.259448,2.507664,1.7093040000000002,0.068688,1.098518,1.528773,2.862692,1.799394,5.180338,3.3059160000000003,3.087663,0.500043,8.295223,4.326878,33.005008000000004,0.5835670000000001,2.872239,1.284302,4.292743,1.3750719999999998,1.6850599999999998,4.071292,3.026144,1.706568,4.463514,7.687335000000001,5.437766000000001,0.178479,0.350168,2.568483,2.032616,0.887208,1.53483,1.33325,1.7202009999999999,1.569028,2.874877,13.186501999999999,2.539205,0.8306030000000001,1.365246,1.175778,1.316985,1.361306,1.5259790000000002,1.205878,0.423095,0.143905,2.10395,1.262659,3.031266,1.529532,2.863584,0.37805900000000003
