gene_id,gene_id,18RES04138_1R_T_S_R_RS_T,18RES13642_1R_T_S_R_RS_T,18RES04220_1R_T_S_R_RS_T,18RES10409_1R_T_S_R_RS_T,18RES10398_1R_T_S_R_RS_T,18RES16182_1R_T_S_R_RS_T,18RES16169_1R_T_S_R_RS_T,18RES16067_1R_T_S_R_RS_T,18RES13653_1R_T_S_R_RS_T,18RES16061_1R_T_S_R_RS_T,18RES13656_1R_T_S_R_RS_T,18RES04251_1R_T_S_R_RS_T,18RES16164_1R_T_S_R_RS_T,18RES13652_1R_T_S_R_RS_T,18RES10382_1R_T_S_R_RS_T,18RES16068_1R_T_S_R_RS_T,18RES04885_1R_T_S_R_RS_T,18RES10394_1R_T_S_R_RS_T,18RES04401_1R_T_S_R_RS_T,18RES04366_1R_T_S_R_RS_T,18RES13639_1R_T_S_R_RS_T,18RES10403_1R_T_S_R_RS_T,18RES16043_1R_T_S_R_RS_T,18RES10389_1R_T_S_R_RS_T,18RES04369_1R_T_S_R_RS_T,18RES04371_1R_T_S_R_RS_T,18RES10414_1R_T_S_R_RS_T,18RES16168_1R_T_S_R_RS_T,18RES04364_1R_T_S_R_RS_T,18RES10402_1R_T_S_R_RS_T,18RES04129_1R_T_S_R_RS_T,18RES10417_1R_T_S_R_RS_T,18RES13654_1R_T_S_R_RS_T,18RES10388_1R_T_S_R_RS_T,18RES13645_1R_T_S_R_RS_T,18RES10413_1R_T_S_R_RS_T,18RES16179_1R_T_S_R_RS_T,18RES10395_1R_T_S_R_RS_T,18RES04254_1R_T_S_R_RS_T,18RES13580_1R_T_S_R_RS_T,18RES13578_1R_T_S_R_RS_T,18RES04410_1R_T_S_R_RS_T,18RES10401_1R_T_S_R_RS_T,18RES13651_1R_T_S_R_RS_T,18RES10393_1R_T_S_R_RS_T,18RES09403_1R_T_S_R_RS_T,18RES10392_1R_T_S_R_RS_T,18RES04367_1R_T_S_R_RS_T,18RES10426_1R_T_S_R_RS_T,18RES13663_1R_T_S_R_RS_T,18RES10430_2R_T_S_R_RS_T,18RES04260_1R_T_S_R_RS_T,18RES04370_1R_T_S_R_RS_T,18RES04227_1R_T_S_R_RS_T,18RES04403_1R_T_S_R_RS_T,18RES04139_1R_T_S_R_RS_T,18RES04258_1R_T_S_R_RS_T,18RES10383_1R_T_S_R_RS_T,18RES16066_1R_T_S_R_RS_T,18RES10405_1R_T_S_R_RS_T,18RES10418_1R_T_S_R_RS_T,18RES04413_1R_T_S_R_RS_T,18RES10428_1R_T_S_R_RS_T,18RES09402_1R_T_S_R_RS_T,18RES04229_1R_T_S_R_RS_T,18RES04372_1R_T_S_R_RS_T,18RES04368_1R_T_S_R_RS_T,18RES10399_1R_T_S_R_RS_T,18RES09394_1R_T_S_R_RS_T,18RES04249_1R_T_S_R_RS_T,18RES16069_1R_T_S_R_RS_T,18RES13572_1R_T_S_R_RS_T,18RES10385_1R_T_S_R_RS_T,18RES04887_1R_T_S_R_RS_T,18RES09399_1R_T_S_R_RS_T,18RES04404_1R_T_S_R_RS_T,18RES04728_1R_T_S_R_RS_T,18RES04250_1R_T_S_R_RS_T,18RES04408_1R_T_S_R_RS_T,18RES09404_1R_T_S_R_RS_T,18RES04407_1R_T_S_R_RS_T,18RES04226_1R_T_S_R_RS_T,18RES04412_1R_T_S_R_RS_T
304,DCN,826.344981,475.531696,212.124202,742.989691,306.089469,542.147014,424.917355,392.627796,103.25194,498.91341600000004,415.948627,241.755312,319.783904,368.264054,446.66773200000006,378.33707599999997,327.980894,679.924895,566.483145,232.566998,84.96625300000001,179.678559,1240.00539,221.13474300000001,739.949206,664.815563,410.524357,246.123663,140.67519199999998,75.095677,1435.197631,671.344648,77.377767,449.13552300000003,196.251419,291.788567,417.932974,646.362906,217.829268,205.774771,154.969,112.17223,18.010362,69.528348,254.797547,1192.497397,474.899961,703.626245,1307.121911,164.11291200000002,2859.9194199999997,1420.858447,507.74021600000003,410.24278300000003,1178.424517,283.422658,50.636534000000005,104.816699,1688.0892039999999,817.580372,151.98529399999998,285.464102,1341.240332,1289.976396,340.545494,823.493026,212.08849300000003,972.875939,852.1760800000001,1449.1977279999999,139.012925,155.24428,573.82776,379.50972,1117.907358,163.205878,421.60331900000006,223.25023900000002,328.538672,1090.3487109999999,1438.633266,219.27945899999997,288.7831
315,CD22,19.175816,16.058911,3.197437,20.173288,9.653661999999999,7.928194,6.680824,10.905828999999999,37.869184999999995,12.72365,204.349041,12.811531,6.863701,6.723188,11.531647,7.7693,5.740638,20.424715,2.145911,8.691442,236.516954,5.877475,12.355761,1.939528,47.215034,7.403060000000001,6.15164,37.843287,21.309196,2.675754,8.474644,11.980378,4.7026069999999995,13.175263000000001,209.408817,29.947443,18.658615,1.516471,5.64691,3.738957,5.997732,5.532725,0.530935,60.070737,8.419213000000001,10.179354,1.371343,42.527674,17.932837,249.77173399999998,9.282686,10.895821,4.810052,3.552916,24.481576,1.2082549999999999,0.402211,1.075484,5.980968,7.321876,14.141557,2.603211,7.370177,2.3891880000000003,0.830491,16.612893,3.9724120000000003,5.984433,60.788672999999996,6.38692,1.95495,6.362367,20.161663,11.67197,2.589085,4.591164,6.309371,10.247735,1.395304,29.707421000000004,3.5873769999999996,0.902885,8.061879
347,CD6,37.342591999999996,27.654932000000002,16.323156,18.4719,24.078287,6.031649,10.364531,17.218517000000002,23.161016,8.769463,39.774196999999994,22.732229999999998,3.147544,1.7052029999999998,9.210203,6.9375979999999995,18.419662,16.362304,5.798483,9.488128,119.30178899999999,13.445789000000001,6.800642999999999,8.803427000000001,30.206611,23.784789,6.968141,22.667574,22.046392,2.493246,8.971363,10.017548,2.538144,5.125815,127.64581399999999,27.826325,13.56355,4.360973,18.856265,4.942717,4.164789,11.252858,3.9828449999999997,32.588147,4.972296,23.26202,17.76312,12.668847999999999,12.971935,85.90525699999999,13.110109,12.451242,7.376699,12.34329,12.645354,7.941056,2.120685,2.3772599999999997,6.474379,16.566272,3.610808,11.384758999999999,8.65621,8.759014,2.82855,10.459050999999999,16.743976999999997,4.356314,17.133769,12.635825,8.054911,22.715838,19.142463,13.795341,6.123292,12.707532,4.47685,18.530035,5.551026,5.774278,11.485049,1.6603299999999999,9.945953999999999
968,TIE1,24.610163,20.159344,32.614053999999996,11.276297,9.629489,15.867310999999999,10.549496000000001,8.64199,11.056035000000001,9.654759,17.706187,13.134595999999998,12.926223,5.604289,9.756981,5.881943,10.669055,14.836896,13.20096,5.691591000000001,9.204462,15.386495000000002,28.928653000000004,10.994349,18.282864,13.942041,9.900789,12.389689,19.23882,12.699831,18.068381,10.954552,3.8917949999999997,14.388620999999999,21.114026000000003,24.150854000000002,10.631882000000001,20.779367999999998,11.697291,10.523795,6.631783,12.137332,3.071949,13.856074,7.451086,39.053684999999994,8.91569,11.394354,19.180409,15.349896,33.227202,25.4362,14.965596,38.296283,22.924342000000003,9.562814,5.677803,12.795276,31.151985999999997,15.512413,17.182499,24.550985999999998,21.801695000000002,53.129877,12.312224,23.320451000000002,11.287092999999999,13.058546,22.072163,30.033871,8.004365,5.200539,11.990547,16.126631,18.476352,11.798798,11.49041,9.765372,18.694688,25.068001000000002,29.522192999999998,12.680657,9.047029
1357,PLXNA2,31.546439000000003,29.856989000000002,38.022682,19.733032,35.009465999999996,22.768332,30.352645000000003,8.424362,6.454398,14.185395999999999,20.346393,43.479378000000004,26.808103999999997,7.0121970000000005,22.240382999999998,8.112269,14.934954000000001,14.369360999999998,19.844942,5.522305,5.385077,9.159697,29.823529999999998,11.290761999999999,20.382141,9.835348,18.160684,12.241525,25.420778,13.018576,25.739014,17.856561,7.061710000000001,21.275126,17.172233,22.259367,10.144965,29.332015000000002,9.773619,11.735106,20.764082000000002,5.117483,8.071121,10.993757,11.659194,26.822464,16.989956,24.071208,17.802836,14.326208,33.117589,17.841465,51.799813,30.486821000000003,44.021336,81.376254,10.445633,10.295977,27.113667,20.061655,45.949455,21.920304,28.169874,42.34132,12.9569,40.038662,13.729951999999999,16.624236,17.90768,36.871846999999995,6.818097,6.798242999999999,13.504187,20.969582,17.276009,92.77855699999999,17.01641,91.892128,14.205074,37.943641,24.909571,19.707392000000002,27.735962
1438,EDN1,13.083586,14.467748,50.809823,6.188041,6.434532,4.503429,24.060579,3.124839,2.065253,6.253645,13.754173999999999,7.357895,6.814757000000001,1.641547,13.300189000000001,2.640015,15.927392000000001,9.456206,7.244878999999999,2.438989,3.5258849999999997,5.799605000000001,6.9953270000000005,2.110232,15.277567000000001,4.817989,4.222567,5.737307,4.6977150000000005,1.828466,18.466960999999998,7.190042,1.2029940000000001,16.694406,11.204472,11.157587,25.58301,8.497616,4.810526,25.814241,1.8997110000000001,11.637417999999998,1.6704169999999998,4.027181,3.242011,7.601719999999999,16.436859,6.892921,12.738204,4.1946129999999995,13.156455,5.521704,18.28744,17.514648,11.67484,7.046532000000001,1.55101,2.8496599999999996,22.841151,7.4394979999999995,4.698936,29.541294,10.732561,5.7700949999999995,10.399346000000001,17.682605,8.471956,9.216933000000001,7.840382000000001,5.832329,6.911734,21.634095000000002,2.8277259999999997,6.667744,8.470137,20.369113,2.441856,32.769698,6.587867,12.231937,8.652742,13.693192000000002,5.096596
1638,HAL,0.281789,0.18448399999999998,0.9020040000000001,0.15782100000000002,0.17055499999999998,6.402171,0.147069,0.8238770000000001,1.6033620000000002,0.275984,0.507401,1.152523,0.346058,0.4193,0.217825,0.39655,0.861633,0.37401999999999996,1.455183,0.773532,1.4035739999999999,0.146176,1.5184010000000001,0.12111300000000001,0.985728,8.204995,1.421257,0.842039,1.252657,0.978101,0.312809,1.9314369999999998,0.567588,2.505435,0.9698629999999999,0.9053059999999999,0.35062,0.127473,0.45451400000000003,0.09404,2.864632,0.326771,0.476811,1.8023240000000003,0.194955,0.26923400000000003,0.07634500000000001,0.15299000000000001,0.200525,1.120634,0.697756,0.109197,0.20751799999999998,0.193002,0.079071,0.912019,0.7830520000000001,1.0707010000000001,0.18167,0.209265,0.5006189999999999,0.186282,0.8105939999999999,0.727744,0.573788,0.274501,0.862547,0.260436,0.412504,0.12642899999999999,0.066437,0.672816,0.21657800000000002,0.157912,1.208835,0.576991,0.685253,1.208456,0.7061,1.013395,0.595094,0.36299499999999996,0.407604
1822,SIRPG,12.989595,5.81269,1.756374,5.372476,6.153076,0.900173,1.9171490000000002,7.105146,7.733353999999999,2.837412,15.57545,4.429677,0.601151,0.088511,3.165339,2.421968,5.5952720000000005,7.854821,1.084761,1.905906,43.470545,3.4211419999999997,3.1657439999999997,4.299337,14.001693,14.114545999999999,2.3154790000000003,7.5728729999999995,2.17306,1.000838,2.775925,4.031339,0.30203800000000003,0.8582780000000001,31.171612,6.987754,2.396257,0.70835,6.38868,1.520633,0.128674,3.9934819999999998,1.9144560000000002,9.575255,0.361714,6.758555,7.93094,2.056909,4.908243,36.833396,4.060198000000001,2.8380549999999998,1.5662479999999999,2.6937029999999997,3.755267,0.7450399999999999,0.155709,1.233914,1.97153,3.214872,0.5869409999999999,1.750414,2.609872,0.370546,0.70485,2.111548,3.4988699999999997,0.9008360000000001,4.54774,1.33552,2.9719849999999997,3.6219449999999997,4.795678,5.122676,0.5308510000000001,1.519299,1.872575,1.611899,2.666173,1.662726,2.502036,0.36190100000000003,3.389432
1902,FLT3LG,9.810692,7.779603999999999,3.49663,4.46542,4.755902,6.895448,4.233258999999999,7.4424600000000005,9.57483,5.226167,15.376129999999998,8.316498,5.436912,2.8043869999999997,3.1825069999999998,3.639136,6.5412,5.952253,3.879601,2.814692,31.904877000000003,5.325506,11.090007,5.160262,9.327153,10.565965,6.580069,7.482874000000001,2.928193,2.752405,5.602629,5.721419,1.476483,3.145005,27.711941999999997,11.455888999999999,4.412277,5.256458,4.325207,1.898105,4.042537,3.807551,4.1444410000000005,9.441145,2.530019,18.377785999999997,8.789997999999999,6.258033,11.801994,22.651093,12.094062,11.921166,4.492474,6.43698,9.190273,6.9731630000000004,2.683866,3.006659,4.610365,7.795828,6.074549,5.356808999999999,9.800360000000001,12.109797,9.592373,6.26819,4.992955,4.464739,9.0121,12.056232000000001,3.214569,3.75086,8.464193,7.6807360000000005,8.528706,3.213677,4.532865,2.449632,3.077198,6.571092,11.683739,2.457611,6.2362470000000005
2014,VNN3,0.182839,0.0,0.0,0.0,0.0,1.0190219999999999,0.0,0.120598,0.0,0.498274,0.984667,0.63148,0.0,0.077795,1.394849,0.0,0.11767999999999999,0.0,0.176454,0.247545,0.104824,0.0,0.0,4.719703,0.177018,0.272588,0.093578,0.0,0.135487,0.053578,0.0,0.566717,0.092309,0.232542,0.07054099999999999,0.059914999999999996,0.067488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.362661,0.0,0.0,0.305923,0.0,0.303124,0.031982,0.037676,0.0,0.0,0.0,0.182203,0.017365000000000002,0.034192,0.152726,0.0,0.02471,0.0,0.06766699999999999,0.0,0.0,0.064063,0.06165,0.022709,0.058096,0.087745,0.0,0.025541,0.07487100000000001,0.0,0.02002,0.98225,0.02957,0.0,0.35415399999999997,0.0,0.022818,0.02976,0.01907
