gene_id,gene_id,18RES04138_1R_T_S_R_RS_T,18RES13642_1R_T_S_R_RS_T,18RES04220_1R_T_S_R_RS_T,18RES10409_1R_T_S_R_RS_T,18RES10398_1R_T_S_R_RS_T,18RES16182_1R_T_S_R_RS_T,18RES16169_1R_T_S_R_RS_T,18RES16067_1R_T_S_R_RS_T,18RES13653_1R_T_S_R_RS_T,18RES16061_1R_T_S_R_RS_T,18RES13656_1R_T_S_R_RS_T,18RES04251_1R_T_S_R_RS_T,18RES16164_1R_T_S_R_RS_T,18RES13652_1R_T_S_R_RS_T,18RES10382_1R_T_S_R_RS_T,18RES16068_1R_T_S_R_RS_T,18RES04885_1R_T_S_R_RS_T,18RES10394_1R_T_S_R_RS_T,18RES04401_1R_T_S_R_RS_T,18RES04366_1R_T_S_R_RS_T,18RES13639_1R_T_S_R_RS_T,18RES10403_1R_T_S_R_RS_T,18RES16043_1R_T_S_R_RS_T,18RES10389_1R_T_S_R_RS_T,18RES04369_1R_T_S_R_RS_T,18RES04371_1R_T_S_R_RS_T,18RES10414_1R_T_S_R_RS_T,18RES16168_1R_T_S_R_RS_T,18RES04364_1R_T_S_R_RS_T,18RES10402_1R_T_S_R_RS_T,18RES04129_1R_T_S_R_RS_T,18RES10417_1R_T_S_R_RS_T,18RES13654_1R_T_S_R_RS_T,18RES10388_1R_T_S_R_RS_T,18RES13645_1R_T_S_R_RS_T,18RES10413_1R_T_S_R_RS_T,18RES16179_1R_T_S_R_RS_T,18RES10395_1R_T_S_R_RS_T,18RES04254_1R_T_S_R_RS_T,18RES13580_1R_T_S_R_RS_T,18RES13578_1R_T_S_R_RS_T,18RES04410_1R_T_S_R_RS_T,18RES10401_1R_T_S_R_RS_T,18RES13651_1R_T_S_R_RS_T,18RES10393_1R_T_S_R_RS_T,18RES09403_1R_T_S_R_RS_T,18RES10392_1R_T_S_R_RS_T,18RES04367_1R_T_S_R_RS_T,18RES10426_1R_T_S_R_RS_T,18RES13663_1R_T_S_R_RS_T,18RES10430_2R_T_S_R_RS_T,18RES04260_1R_T_S_R_RS_T,18RES04370_1R_T_S_R_RS_T,18RES04227_1R_T_S_R_RS_T,18RES04403_1R_T_S_R_RS_T,18RES04139_1R_T_S_R_RS_T,18RES04258_1R_T_S_R_RS_T,18RES10383_1R_T_S_R_RS_T,18RES16066_1R_T_S_R_RS_T,18RES10405_1R_T_S_R_RS_T,18RES10418_1R_T_S_R_RS_T,18RES04413_1R_T_S_R_RS_T,18RES10428_1R_T_S_R_RS_T,18RES09402_1R_T_S_R_RS_T,18RES04229_1R_T_S_R_RS_T,18RES04372_1R_T_S_R_RS_T,18RES04368_1R_T_S_R_RS_T,18RES10399_1R_T_S_R_RS_T,18RES09394_1R_T_S_R_RS_T,18RES04249_1R_T_S_R_RS_T,18RES16069_1R_T_S_R_RS_T,18RES13572_1R_T_S_R_RS_T,18RES10385_1R_T_S_R_RS_T,18RES04887_1R_T_S_R_RS_T,18RES09399_1R_T_S_R_RS_T,18RES04404_1R_T_S_R_RS_T,18RES04728_1R_T_S_R_RS_T,18RES04250_1R_T_S_R_RS_T,18RES04408_1R_T_S_R_RS_T,18RES09404_1R_T_S_R_RS_T,18RES04407_1R_T_S_R_RS_T,18RES04226_1R_T_S_R_RS_T,18RES04412_1R_T_S_R_RS_T
93,TSPOAP1,14.391366,39.718612,8.813993,11.109556,35.007294,41.519,76.118002,21.478395000000003,10.639579,31.571528999999998,16.849057000000002,9.226771000000001,22.425333,27.638628000000004,22.015692,23.959475,11.011569,8.384978,9.75614,14.792028,27.369490999999996,18.637105,40.592669,6.806227000000001,8.027542,5.828822,37.913911,16.904431,9.966891,11.210038,12.400624,21.673305,16.884261,65.710124,34.169605,24.032080999999998,19.299466,14.602551,21.458845,11.162897000000001,32.002274,10.475157000000001,27.273763,11.213775,7.962288,28.769593,20.902307999999998,11.937755000000001,27.567075,28.822014000000003,16.321071,11.328863,21.418815,9.363844,7.976399000000001,6.7755399999999995,28.479598,28.420715,16.589388,11.739878,35.959127,13.193213,16.491681,21.083909,33.417441,15.317541,37.815344,25.504738,26.233898999999997,9.661389999999999,34.905396,15.317520000000002,33.75611,30.442281,39.560757,19.111696,23.40192,17.913288,7.564543,14.461148999999999,28.648343,40.108944,133.73519299999998
99,ABCB4,8.862505,2.9465689999999998,1.462947,2.382215,2.244002,7.078722999999999,4.852407,4.62005,10.431981,5.693846,13.241412,4.611891,5.778434,6.352771,4.599207,2.629216,2.345776,5.644063,3.4872769999999997,4.5041,35.113045,1.654725,5.339129,4.101157,8.437208,5.755744,5.077033999999999,3.8522839999999996,2.608796,2.124844,6.099871,6.705597999999999,5.799513,4.283546,19.225921,8.150414,5.564181,1.5539020000000001,5.284468,1.347809,1.838039,1.316798,0.178731,6.353802,6.683184,4.217033,6.287996,4.765998000000001,4.336936,26.173084,5.438942,2.67278,4.9807440000000005,2.249289,12.777328,1.570398,2.366809,1.109059,1.957455,6.966842999999999,2.950438,2.089722,4.331585,2.84376,5.415948,5.69339,2.2176240000000003,3.2137290000000003,7.280985,6.336583999999999,1.36758,1.625916,4.411973000000001,3.817782,3.047111,1.1965860000000001,13.579070999999999,1.498573,3.735433,9.82746,4.977107,1.372417,5.090763
177,GAS7,49.929168,31.182609999999997,20.011871,40.296606,52.013209,43.779297,17.469072,31.727219,9.965819999999999,37.184338000000004,26.395164,16.628809,33.834544,19.505891000000002,45.398472999999996,20.87329,22.442189000000003,36.147426,36.244768,18.206599,12.99349,8.86285,70.453564,15.579401,47.114996999999995,31.736015999999996,15.732226999999998,19.636433,16.454907000000002,4.587785,72.831125,29.434549,5.09555,28.760803999999997,20.633185,24.708346,39.005739,37.046667,14.74105,17.791496,12.724526,7.843471000000001,3.528292,11.117134,28.59699,49.051226,14.679725,64.9395,46.234698,21.902375,171.934534,73.291302,21.800547,26.139012,96.27168,16.076829999999998,6.148396,8.801196000000001,59.730503000000006,37.585356,22.861253,23.617503,59.394431999999995,72.742653,16.990821,87.101851,30.263013,39.304986,87.90032099999999,71.440748,10.548192,9.927285000000001,33.99317,25.713117,51.858931,18.601298,15.650321,22.693858,13.633526999999999,55.324645,85.135958,8.088846,22.043035999999997
179,MATK,9.952967,5.495578,2.6760479999999998,31.025777,4.188833,1.432792,2.7789349999999997,3.152486,2.752627,1.225897,2.922721,4.420114,2.233952,0.55142,1.26817,1.2565709999999999,6.912549,1.6717830000000002,0.648385,1.617167,7.203761,23.549704000000002,2.849421,5.746763,3.830023,9.881196000000001,1.621154,16.534828,2.1634439999999997,8.211093,4.383111,1.660237,0.502753,0.956585,12.235091,6.325653,2.183954,0.688113,2.611663,0.93055,3.3802779999999997,1.8273119999999998,12.303107,6.311083,1.396902,8.144438000000001,1.7027150000000002,2.123666,14.427492,10.969374,4.8643849999999995,7.03936,4.136882,3.004057,4.7850410000000005,3.9210010000000004,1.942136,1.9404569999999999,2.257934,5.076655000000001,1.461359,4.303624,5.586759,2.565115,2.942962,3.8591800000000003,14.853735999999998,1.2143709999999999,2.045271,7.137461999999999,1.937225,2.438659,3.7379830000000003,2.610176,1.322919,5.232648,3.002293,1.551318,2.196227,3.061531,2.763872,2.489671,2.37071
262,SEMA3G,5.332491,5.718685,15.839443,1.0080360000000002,1.7211830000000001,4.9632760000000005,4.043595,2.8662549999999998,1.387622,5.8523629999999995,7.49954,1.037469,4.153784,0.565122,5.144702,1.665819,1.580777,3.434668,1.3415549999999998,2.339439,1.150204,2.111552,9.417334,1.535677,5.858369000000001,3.20733,2.384643,5.154339,3.9987809999999997,1.662838,8.302755,2.511266,1.344334,5.197725,3.824299,2.8047880000000003,2.354692,7.868111,1.844699,2.5041700000000002,1.802791,2.010881,0.774709,1.8107959999999999,1.249773,26.713348,3.0571759999999997,3.701272,5.126703,0.68212,19.780791,21.841744,2.392097,13.220555,4.927307,1.597122,2.481231,2.661684,28.447813,4.816473,1.786673,7.274133999999999,6.21862,23.716504,1.9715919999999998,5.422942,7.0305089999999995,1.714219,8.548906,4.144278,1.6399419999999998,2.106164,4.665018,6.445103,5.268805,2.834691,2.040871,1.495057,3.044892,9.080250999999999,10.92319,2.295261,4.33655
288,ABHD5,12.779268,23.95251,25.940067000000003,31.327769,19.967584,29.52011,23.860664,26.461672999999998,20.98085,31.501528999999998,38.251037,27.169878999999998,29.545312,31.313728,14.994748999999999,36.779374,22.046891,27.218145,11.089932000000001,18.372981,9.921254,14.221604000000001,22.278883999999998,38.032019,15.123721,25.280945000000003,23.324471,43.833442,27.120407,46.731903,16.336344,23.35815,48.271640999999995,27.458371999999997,18.647214,29.933799,36.137714,27.664994,24.828238,32.126638,26.860415999999997,26.815212,15.517349,33.384164,22.114358,28.569371999999998,31.514301,13.754045000000001,29.076643,18.783327,34.90287,16.070429999999998,30.606240999999997,24.234270000000002,13.087401,15.45253,15.816635,25.357975,40.977005,28.422535999999997,22.457656,14.693029999999998,34.720714,41.127742,7.712421000000001,14.811668,143.26728300000002,22.141284,27.705231,10.809223,27.866513,22.127866,21.338414999999998,27.917142,29.089126,16.280619,20.592252,19.598868,25.547007999999998,32.914082,20.173315,56.841919999999995,20.995778
472,SH2D2A,24.917811999999998,20.189585,6.909317999999999,11.640114,19.364824,3.9248480000000003,7.678985000000001,15.902241,4.764744,2.8903380000000003,9.967654,13.534994000000001,6.208295,2.486666,4.836206,5.262341,12.226979,7.226767999999999,3.4505769999999996,58.937437,15.267857999999999,9.75314,3.164119,6.455325,9.031005,19.175873,5.399586,12.962589,11.166697000000001,3.981964,5.596483,8.871975,0.287812,2.82295,13.746022,12.017675,6.958216,3.6004709999999998,8.799738,5.609992,1.996316,11.29635,8.150482,7.982208999999999,1.555765,19.804025,20.348942,5.311411,7.198525,17.353787,11.830733,10.819999000000001,11.204861,10.502628,6.647164,17.843148,7.338367999999999,7.839645,8.470267999999999,5.698371,2.085944,9.662358,10.482272,7.244165,9.155111,5.968474,10.812389999999999,3.482046,4.686243,7.700297999999999,10.108673,10.990249,13.012057,5.395607,9.98299,13.482037,2.3032150000000002,15.204037,3.415997,5.094591,9.380973,8.280042,9.893472000000001
528,DAPK2,14.832099,34.233906,19.299444,14.202407999999998,15.755961,17.0052,37.991502000000004,9.546759,10.434066,17.006041,16.048046,12.981049,33.392092,2.5411,32.50973,17.112942,61.876787,16.41621,7.926514999999999,14.886664999999999,8.118789,5.463112000000001,15.237012,11.389146,9.662262,12.033033999999999,16.235421,19.583354,8.397383999999999,9.867410000000001,27.025492,11.086818,14.514072,19.57403,14.194920000000002,14.617556,21.119985,15.005035999999999,6.996973,11.224673,26.677834999999998,7.648351,35.249179,20.89266,11.618859,28.503065000000003,39.988,18.428051999999997,24.464164,11.141475999999999,21.036828,16.693123999999997,55.116645999999996,34.108346999999995,36.497489,5.838566,5.173106,16.981262,16.16401,11.211314999999999,23.366059,17.584908,18.747472,35.187365,58.802824,40.90405,14.410639000000002,19.518174,16.152943,8.273655,29.315371000000003,7.761486,12.076122999999999,15.377602,25.629182999999998,24.28772,28.540802000000003,4.470222,6.081771,15.094233,41.347059,14.617534,23.246279
531,STAP1,3.534896,3.00433,1.236206,0.9356120000000001,2.1978590000000002,0.0,0.6049979999999999,8.173319000000001,12.394259,2.407181,38.314857,6.933644999999999,0.44812799999999997,0.933265,1.0135399999999999,1.358155,1.69603,4.43745,1.257484,2.6549810000000003,47.077616,4.990048000000001,3.588082,2.0796900000000003,7.861028999999999,2.678527,2.811307,11.242051,3.8960589999999997,0.9996,5.056895,3.255614,0.9340350000000001,0.8987629999999999,35.977982,10.248649,2.475444,1.426731,2.054279,0.9105030000000001,0.32329,1.338516,0.28523699999999996,8.759067,0.399981,1.6781169999999999,3.1598349999999997,1.6003180000000001,3.991503,40.710964000000004,5.6912080000000005,4.83268,0.719475,2.94882,1.406032,1.132434,0.200312,1.9467189999999999,0.9397409999999999,1.4225510000000001,0.47849200000000003,0.89741,2.988457,1.393234,0.338329,3.152859,1.2313370000000001,1.2496180000000001,11.997611000000001,3.034369,2.1454560000000003,3.3372290000000002,3.245839,3.426732,2.197234,3.023393,0.7401800000000001,1.804571,0.572034,0.73123,1.466877,0.247716,1.629345
600,ADAM28,49.741956,90.37005,23.4362,61.365936,49.16786,21.796428,38.72837,81.628747,106.557709,75.912339,353.426286,58.310877000000005,20.837161,22.959437,63.094182999999994,32.384909,20.677971,57.389185999999995,50.220661,39.247828000000005,333.82171600000004,53.57519,80.401106,85.36185400000001,53.877486,39.354778,26.650839,69.368945,61.505062,27.247095,23.773111,41.541362,10.345902,43.492964,294.21959100000004,112.01718400000001,66.556914,23.187063000000002,46.641616,19.9298,37.000972999999995,8.530623,28.379841,55.38150600000001,38.179226,53.905386,28.492192,28.270145,50.383041999999996,313.294284,70.06144,22.110848999999998,32.22566,48.313990000000004,28.885888,12.049761,4.5101830000000005,29.466853000000004,29.374064,53.760204,23.848233,10.422609,38.30069,18.583351999999998,8.348042999999999,32.607347,51.497633,31.757281,87.57899300000001,35.039555,26.508914,47.574349,59.389768999999994,42.079972,55.105066,25.197181,28.071324,24.833420999999998,12.540133,21.332378,59.067274,17.305403,21.074842
