,Unnamed: 0,Approved symbol,Alias symbol,Ensembl gene ID
0,2.0,A1CF,ACF,ENSG00000148584
1,3.0,A1CF,ASP,ENSG00000148584
2,4.0,A1CF,ACF64,ENSG00000148584
3,5.0,A1CF,ACF65,ENSG00000148584
4,6.0,A1CF,APOBEC1CF,ENSG00000148584
5,18.0,A4GALT,A14GALT,ENSG00000128274
6,19.0,A4GALT,Gb3S,ENSG00000128274
7,20.0,A4GALT,P(k),ENSG00000128274
8,21.0,A4GNT,alpha4GnT,ENSG00000118017
9,26.0,AAAS,,ENSG00000094914
10,28.0,AACS,FLJ12389,ENSG00000081760
11,29.0,AACS,SUR-5,ENSG00000081760
12,30.0,AACS,ACSF1,ENSG00000081760
13,32.0,AADAC,DAC,ENSG00000114771
14,33.0,AADAC,CES5A1,ENSG00000114771
15,42.0,AAGAB,FLJ11506,ENSG00000103591
16,43.0,AAGAB,p34,ENSG00000103591
17,44.0,AAK1,KIAA1048,ENSG00000115977
18,45.0,AAK1,DKFZp686K16132,ENSG00000115977
19,49.0,AAMP,,ENSG00000127837
20,50.0,AANAT,SNAT,ENSG00000129673
21,63.0,AASDHPPT,LYS5,ENSG00000149313
22,64.0,AASDHPPT,CGI-80,ENSG00000149313
23,65.0,AASDHPPT,AASD-PPT,ENSG00000149313
24,66.0,AASDHPPT,ACPS,ENSG00000149313
25,67.0,AASS,LORSDH,ENSG00000008311
26,68.0,AASS,LKRSDH,ENSG00000008311
27,69.0,AATBC,,ENSG00000215458
28,70.0,AATF,DED,ENSG00000275700
29,71.0,AATF,CHE-1,ENSG00000275700
30,72.0,AATF,CHE1,ENSG00000275700
31,73.0,AATF,BFR2,ENSG00000275700
32,74.0,AATK,AATYK,ENSG00000181409
33,75.0,AATK,KIAA0641,ENSG00000181409
34,76.0,AATK,LMTK1,ENSG00000181409
35,77.0,AATK,LMR1,ENSG00000181409
36,78.0,AATK,AATYK1,ENSG00000181409
37,79.0,AATK,PPP1R77,ENSG00000181409
38,82.0,ABAT,GABAT,ENSG00000183044
39,83.0,ABAT,GABA-T,ENSG00000183044
40,84.0,ABCA1,TGD,ENSG00000165029
41,85.0,ABCA2,,ENSG00000107331
42,86.0,ABCA3,ABC-C,ENSG00000167972
43,87.0,ABCA3,EST111653,ENSG00000167972
44,88.0,ABCA3,LBM180,ENSG00000167972
45,89.0,ABCA4,FFM,ENSG00000198691
46,90.0,ABCA4,ARMD2,ENSG00000198691
47,91.0,ABCA4,CORD3,ENSG00000198691
48,92.0,ABCA5,EST90625,ENSG00000154265
49,93.0,ABCA6,EST155051,ENSG00000154262
50,94.0,ABCA7,ABCX,ENSG00000064687
51,95.0,ABCA8,KIAA0822,ENSG00000141338
52,101.0,ABCA12,DKFZP434G232,ENSG00000144452
53,102.0,ABCA12,LI2,ENSG00000144452
54,106.0,ABCB1,P-gp,ENSG00000085563
55,107.0,ABCB1,CD243,ENSG00000085563
56,108.0,ABCB1,GP170,ENSG00000085563
57,109.0,ABCB1,ABC20,ENSG00000085563
58,110.0,ABCB4,MDR2,ENSG00000005471
59,111.0,ABCB4,PFIC-3,ENSG00000005471
60,112.0,ABCB4,GBD1,ENSG00000005471
61,116.0,ABCB6,EST45597,ENSG00000115657
62,117.0,ABCB6,umat,ENSG00000115657
63,118.0,ABCB6,MTABC3,ENSG00000115657
64,119.0,ABCB7,EST140535,ENSG00000131269
65,120.0,ABCB7,Atm1p,ENSG00000131269
66,121.0,ABCB7,ASAT,ENSG00000131269
67,122.0,ABCB8,EST328128,ENSG00000197150
68,123.0,ABCB8,M-ABC1,ENSG00000197150
69,124.0,ABCB8,MABC1,ENSG00000197150
70,125.0,ABCB8,MITOSUR,ENSG00000197150
71,126.0,ABCB9,EST122234,ENSG00000150967
72,134.0,ABCB11,ABC16,ENSG00000073734
73,135.0,ABCB11,SPGP,ENSG00000073734
74,136.0,ABCB11,PFIC-2,ENSG00000073734
75,137.0,ABCB11,PGY4,ENSG00000073734
76,138.0,ABCC1,GS-X,ENSG00000103222
77,139.0,ABCC2,DJS,ENSG00000023839
78,140.0,ABCC2,MRP2,ENSG00000023839
79,141.0,ABCC2,cMRP,ENSG00000023839
80,142.0,ABCC3,MRP3,ENSG00000108846
81,143.0,ABCC3,cMOAT2,ENSG00000108846
82,144.0,ABCC3,EST90757,ENSG00000108846
