,gene
0,ABCB4
1,ABCB9
2,ACAP1
3,ACHE
4,ACP5
5,ADAM28
6,ADAMDEC1
7,ADAMTS3
8,ADRB2
9,AIF1
10,AIM2
11,ALOX15
12,ALOX5
13,AMPD1
14,ANGPT4
15,ANKRD55
16,APOBEC3A
17,APOBEC3G
18,APOL3
19,APOL6
20,AQP9
21,ARHGAP22
22,ARRB1
23,ASGR1
24,ASGR2
25,ATHL1
26,ATP8B4
27,ATXN8OS
28,AZU1
29,BACH2
30,BANK1
31,BARX2
32,BCL11B
33,BCL2A1
34,BCL7A
35,BEND5
36,BFSP1
37,BHLHE41
38,BIRC3
39,BLK
40,BMP2K
41,BPI
42,BRAF
43,BRSK2
44,BST1
45,BTNL8
46,C11orf80
47,C1orf54
48,C3AR1
49,C5AR1
50,C5AR2
51,CA8
52,CAMP
53,CASP5
54,CCDC102B
55,CCL1
56,CCL13
57,CCL14
58,CCL17
59,CCL18
60,CCL19
61,CCL20
62,CCL22
63,CCL23
64,CCL4
65,CCL5
66,CCL7
67,CCL8
68,CCND2
69,CCR10
70,CCR2
71,CCR3
72,CCR5
73,CCR6
74,CCR7
75,CD160
76,CD180
77,CD19
78,CD1A
79,CD1B
80,CD1C
81,CD1D
82,CD1E
83,CD2
84,CD209
85,CD22
86,CD244
87,CD247
88,CD27
89,CD28
90,CD300A
91,CD33
92,CD37
93,CD38
94,CD3D
95,CD3E
96,CD3G
97,CD4
98,CD40
99,CD40LG
100,CD5
101,CD6
102,CD68
103,CD69
104,CD7
105,CD70
106,CD72
107,CD79A
108,CD79B
109,CD80
110,CD86
111,CD8A
112,CD8B
113,CD96
114,CDA
115,CDC25A
116,CDH12
117,CDHR1
118,CDK6
119,CEACAM3
120,CEACAM8
121,CEMP1
122,CFP
123,CHI3L1
124,CHI3L2
125,CHST15
126,CHST7
127,CLC
128,CLCA3P
129,CLEC10A
130,CLEC2D
131,CLEC4A
132,CLEC7A
133,CLIC2
134,CMA1
135,COL8A2
136,COLQ
137,CPA3
138,CR2
139,CREB5
140,CRISP3
141,CRTAM
142,CRYBB1
143,CSF1
144,CSF2
145,CSF3R
146,CST7
147,CTLA4
148,CTSG
149,CTSW
150,CXCL10
151,CXCL11
152,CXCL13
153,CXCL3
154,CXCL5
155,CXCL9
156,CXCR1
157,CXCR2
158,CXCR5
159,CXCR6
160,CXorf57
161,CYP27A1
162,CYP27B1
163,DACH1
164,DAPK2
165,DCSTAMP
166,DEFA4
167,DENND5B
168,DEPDC5
169,DGKA
170,DHRS11
171,DHX58
172,DPEP2
173,DPP4
174,DSC1
175,DUSP2
176,EAF2
177,EBI3
178,EFNA5
179,EGR2
180,ELANE
181,EMR1
182,EMR2
183,EMR3
184,EPB41
185,EPHA1
186,EPN2
187,ETS1
188,ETV3
189,FAIM3
190,FAM124B
191,FAM174B
192,FAM198B
193,FAM212B
194,FAM65B
195,FASLG
196,FBXL8
197,FCER1A
198,FCER2
199,FCGR2B
200,FCGR3B
201,FCN1
202,FCRL2
203,FES
204,FFAR2
205,FLJ13197
206,FLT3LG
207,FLVCR2
208,FOSB
209,FOXP3
210,FPR1
211,FPR2
212,FPR3
213,FRK
214,FRMD4A
215,FRMD8
216,FZD2
217,FZD3
218,GAL3ST4
219,GALR1
220,GFI1
221,GGT5
222,GIPR
223,GNG7
224,GNLY
225,GPC4
226,GPR1
227,GPR171
228,GPR18
229,GPR183
230,GPR19
231,GPR25
232,GPR65
233,GPR97
234,GRAP2
235,GSTT1
236,GUSBP11
237,GYPE
238,GZMA
239,GZMB
240,GZMH
241,GZMK
242,GZMM
243,HAL
244,HCK
245,HDC
246,HESX1
247,HHEX
248,HIC1
249,HIST1H2AE
250,HIST1H2BG
251,HK3
252,HLA-DOB
253,HLA-DQA1
254,HMGB3P30
255,HNMT
256,HOXA1
257,HPGDS
258,HPSE
259,HRH1
260,HSPA6
261,HTR2B
262,ICA1
263,ICOS
264,IDO1
265,IFI44L
266,IFNA10
267,IFNG
268,IGHD
269,IGHE
270,IGHM
271,IGKC
272,IGLL3P
273,IGSF6
274,IL12B
275,IL12RB2
276,IL17A
277,IL18R1
278,IL18RAP
279,IL1A
280,IL1B
281,IL1RL1
282,IL21
283,IL26
284,IL2RA
285,IL2RB
286,IL3
287,IL4
288,IL4R
289,IL5
290,IL5RA
291,IL7
292,IL7R
293,IL9
294,IRF8
295,ITK
296,KCNA3
297,KCNG2
298,KIAA0226L
299,KIAA0754
300,KIR2DL1
301,KIR2DL4
302,KIR2DS4
303,KIR3DL2
304,KIRREL
305,KLRB1
306,KLRC3
307,KLRC4
308,KLRD1
309,KLRF1
310,KLRG1
311,KLRK1
312,KRT18P50
313,KYNU
314,LAG3
315,LAIR2
316,LAMP3
317,LAT
318,LCK
319,LEF1
320,LHCGR
321,LILRA2
322,LILRA3
323,LILRA4
324,LILRB2
325,LIME1
326,LINC00597
327,LINC00921
328,LOC100130100
329,LOC126987
330,LRMP
331,LST1
332,LTA
333,LTB
334,LTC4S
335,LY86
336,LY9
337,MAGEA11
338,MAK
339,MAN1A1
340,MANEA
341,MAP3K13
342,MAP4K1
343,MAP4K2
344,MAP9
345,MARCH3
346,MARCO
347,MAST1
348,MBL2
349,MEFV
350,MEP1A
351,MGAM
352,MICAL3
353,MMP12
354,MMP25
355,MMP9
356,MNDA
357,MROH7
358,MS4A1
359,MS4A2
360,MS4A3
361,MS4A6A
362,MSC
363,MXD1
364,MYB
365,MZB1
366,NAALADL1
367,NCF2
368,NCR3
369,NFE2
370,NIPSNAP3B
371,NKG7
372,NLRP3
373,NMBR
374,NME8
375,NOD2
376,NOX3
377,NPAS1
378,NPIPB15
379,NPL
380,NR4A3
381,NTN3
382,NTRK1
383,ORC1
384,OSM
385,P2RX1
386,P2RX5
387,P2RY10
388,P2RY13
389,P2RY14
390,P2RY2
391,PADI4
392,PAQR5
393,PASK
394,PAX7
395,PBXIP1
396,PCDHA5
397,PDCD1
398,PDCD1LG2
399,PDE6C
400,PDK1
401,PGLYRP1
402,PIK3IP1
403,PKD2L2
404,PLA1A
405,PLA2G7
406,PLCH2
407,PLEKHF1
408,PLEKHG3
409,PMCH
410,PNOC
411,PPBP
412,PPFIBP1
413,PRF1
414,PRG2
415,PRR5L
416,PSG2
417,PTGDR
418,PTGER2
419,PTGIR
420,PTPRCAP
421,PTPRG
422,PVRIG
423,QPCT
424,RAB27B
425,RALGPS2
426,RASA3
427,RASGRP2
428,RASGRP3
429,RASSF4
430,RCAN3
431,REN
432,RENBP
433,REPS2
434,RGS1
435,RGS13
436,RNASE2
437,RNASE6
438,RPL10L
439,RPL3P7
440,RRP12
441,RRP9
442,RSAD2
443,RYR1
444,S100A12
445,S1PR5
446,SAMSN1
447,SCN9A
448,SEC31B
449,SELL
450,SEPT5
451,SEPT8
452,SERGEF
453,SH2D1A
454,SIGLEC1
455,SIK1
456,SIRPG
457,SIT1
458,SKA1
459,SKAP1
460,SLAMF1
461,SLAMF8
462,SLC12A1
463,SLC12A8
464,SLC15A3
465,SLC2A6
466,SLC7A10
467,SLCO5A1
468,SMPD3
469,SMPDL3B
470,SOCS1
471,SP140
472,SPAG4
473,SPIB
474,SPOCK2
475,SSX1
476,ST3GAL6
477,ST6GALNAC4
478,ST8SIA1
479,STAP1
480,STEAP4
481,STXBP6
482,TARDBPP1
483,TBX21
484,TCF7
485,TCL1A
486,TEC
487,TEP1
488,TGM5
489,TLR2
490,TLR7
491,TLR8
492,TMEM156
493,TMEM255A
494,TNFAIP6
495,TNFRSF10C
496,TNFRSF11A
497,TNFRSF13B
498,TNFRSF17
499,TNFRSF4
500,TNFSF14
501,TNIP3
502,TPSAB1
503,TRAC
504,TRAF4
505,TRAT1
506,TRAV12-2
507,TRAV13-1
508,TRAV13-2
509,TRAV21
510,TRAV8-6
511,TRAV9-2
512,TRBC1
513,TRDC
514,TREM1
515,TREM2
516,TREML2
517,TRIB2
518,TRPM4
519,TRPM6
520,TSHR
521,TTC38
522,TXK
523,TYR
524,UBASH3A
525,UGT1A8
526,UGT2B17
527,UPK3A
528,VILL
529,VNN1
530,VNN2
531,VNN3
532,VPREB3
533,WNT5B
534,WNT7A
535,ZAP70
536,ZBP1
537,ZBTB10
538,ZBTB32
539,ZFP36L2
540,ZNF135
541,ZNF165
542,ZNF204P
543,ZNF222
544,ZNF286A
545,ZNF324
546,ZNF442
