,gene
0,AADAC
1,AAMP
2,AANAT
3,AARS
4,ABAT
5,ABCA1
6,ABCA2
7,ABCA3
8,ABCB7
9,ABCF1
10,ABCA4
11,ABL1
12,ABL2
13,ABO
14,ABR
15,ACAA1
16,ACACA
17,ACACB
18,ACADL
19,ACADM
20,ACADS
21,ACADSB
22,ACADVL
23,ACAT1
24,ACAT2
25,ACHE
26,ACLY
27,ACO1
28,ACO2
29,ACOX1
30,ACP1
31,ACP2
32,ACP5
33,ACPP
34,ACRV1
35,ACTA1
36,ACTA2
37,ACTC1
38,ACTG1
39,ACTG2
40,ACTN4
41,ACTL6A
42,ACTN1
43,ACTN2
44,ACTN3
45,ACVR1
46,ACVR1B
47,ACVR2A
48,ACVR2B
49,ACVRL1
50,ACYP1
51,ACYP2
52,ADA
53,ADAM8
54,ADAM10
55,ADAR
56,ADARB1
57,ADARB2
58,ADCY1
59,ADCY2
60,ADCY3
61,ADCY6
62,ADCY7
63,ADCY8
64,ADCY9
65,ADCYAP1
66,ADCYAP1R1
67,ADD1
68,ADD2
69,ADD3
70,PLIN2
71,ADH1A
72,ADH1B
73,ADH1C
74,ADH5
75,ADH6
76,ADH7
77,ADK
78,ADM
79,ADORA1
80,ADORA2B
81,ADORA3
82,ADPRH
83,PARP1
84,ADRA1D
85,ADRA1B
86,ADRA1A
87,ADRA2A
88,ADRA2B
89,ADRA2C
90,ADRB1
91,ADRB2
92,ADRB3
93,ADSL
94,ADSS
95,AP2A2
96,AP1B1
97,AP2B1
98,AP1G1
99,AEBP1
100,AES
101,CRISP1
102,AFM
103,AFP
104,AGA
105,ACAN
106,AGER
107,AGL
108,AGRP
109,JAG1
110,AGT
111,AGTR2
112,APLNR
113,AGXT
114,NR0B1
115,AHCY
116,AHR
117,AHSG
118,AIF1
119,AIM1
120,AK1
121,AK2
122,AKT1
123,AKT2
124,ALAD
125,ALAS1
126,ALAS2
127,ALB
128,ALCAM
129,ABCD1
130,ALDH1A1
131,ALDH2
132,ALDH3A1
133,ALDH1B1
134,ALDH1A3
135,ALDH3B1
136,ALDH3B2
137,ALDH9A1
138,ALDH3A2
139,ABCD2
140,ALDOA
141,ALDOB
142,ALDOC
143,AKR1B1
144,ALK
145,ALOX12
146,ALOX5
147,ALOX5AP
148,ALOX12B
149,ALOX15
150,ALOX15B
151,ALPI
152,ALPL
153,ALPP
154,ALPPL2
155,ALX3
156,AMBN
157,AMBP
158,AMD1
159,AMELX
160,AMFR
161,AMH
162,AMHR2
163,AMPD1
164,AMPD2
165,AMPD3
166,AMPH
167,BIN1
168,AMT
169,ANGPT1
170,ANGPT2
171,ANK1
172,ANK2
173,ANK3
174,ANPEP
175,SLC25A4
176,SLC25A5
177,SLC25A6
178,ANXA1
179,ANXA2
180,ANXA3
181,ANXA4
182,ANXA5
183,ANXA6
184,ANXA7
185,ANXA11
186,ANXA13
187,AOAH
188,AOC2
189,AOX1
190,APAF1
191,NUDT2
192,APOF
193,APBA1
194,APBA2
195,APBB1
196,APBB2
197,APC
198,APCS
199,AIRE
200,APEH
201,APEX1
202,BIRC2
203,BIRC3
204,XIAP
205,BIRC5
206,APLP1
207,APLP2
208,APOA1
209,APOA2
210,APOA4
211,APOB
212,APOBEC1
213,APOC1
214,AQP8
215,APOC3
216,APOD
217,APOE
218,APOH
219,APP
220,APRT
221,KLK3
222,FAS
223,FASLG
224,SHROOM2
225,AQP1
226,AQP2
227,AQP3
228,AQP4
229,AQP5
230,AQP6
231,AQP9
232,AR
233,ARAF
234,ARCN1
235,TRIM23
236,ARF1
237,ARF3
238,ARF4
239,ARL4D
240,ARF5
241,ARF6
242,ARG1
243,ARG2
244,RHOA
245,RHOB
246,RHOC
247,RND3
248,RHOG
249,ARHGAP1
250,ARHGAP4
251,ARHGAP5
252,ARHGAP6
253,ARHGDIA
254,ARHGDIB
255,ARHGDIG
256,RHOH
257,ARL1
258,PHOX2A
259,ARL2
260,ARL3
261,ARNT
262,ARNTL
263,ARR3
264,ARRB1
265,ARRB2
266,ARSA
267,ARSB
268,STS
269,ARSD
270,ARSE
271,ART1
272,ART3
273,ART4
274,ARVCF
275,ASAH1
