,gene
0,PAX5
1,MS4A1
2,BANK1
3,CD79A
4,FCRL2
5,FCER2
6,TCL1A
7,CD79B
8,FCRL5
9,STAP1
10,POU2AF1
11,FOXP3
12,ANKRD55
13,TRAT1
14,MDS2
15,IL2RA
16,GCNT4
17,RCAN3
18,TBC1D4
19,DGKA
20,CD8B
21,JAKMIP1
22,NAA16
23,TSPYL1
24,HAUS3
25,CD300E
26,EREG
27,CLEC6A
28,CPVL
29,EGR2
30,CD300C
31,CD33
32,SLC37A2
33,CECR1
34,NAGA
35,MS4A6A
36,CXCR1
37,PGLYRP1
38,MMP25
39,CEACAM3
40,SLC12A1
41,KY
42,FFAR2
43,CYP4F3
44,TAS2R40
45,HIST1H2BC
46,HIST1H3D
47,CNTNAP3
48,SH2D1B
49,KLRF1
50,NCR1
51,CLIC3
52,NMUR1
53,GNLY
54,CD160
55,S1PR5
56,FGFBP2
57,GNPTAB
58,UBASH3A
59,THEMIS
60,CD28
61,ITK
62,BCL11B
63,CD5
64,IL7R
0,PAX5
1,MS4A1
2,BANK1
3,CD79A
4,FCRL2
5,FCER2
6,TCL1A
7,CD79B
8,FCRL5
9,STAP1
10,POU2AF1
11,DPT
12,COL1A1
13,SFRP2
14,LUM
15,COL14A1
16,SFRP4
17,CXCL14
18,ISLR
19,COL3A1
20,MFAP5
21,ADAM33
22,MEG3
23,FBLN1
24,PTGIS
25,TMEM119
26,CRISPLD2
27,SYNPO2
28,F3
29,PRELP
30,CLDN11
31,FOXP3
32,ANKRD55
33,TRAT1
34,MDS2
35,IL2RA
36,GCNT4
37,RCAN3
38,TBC1D4
39,DGKA
40,CD8B
41,JAKMIP1
42,NAA16
43,TSPYL1
44,HAUS3
45,CDH5
46,VWF
47,CLEC14A
48,STAB2
49,SLCO2A1
50,CLDN5
51,MMRN1
52,MYCT1
53,GPR4
54,ECSCR
55,SOX18
56,KDR
57,CXorf36
58,MMRN2
59,GPR182
60,FLT4
61,PTPRB
62,F2RL3
63,FLT1
64,RHOJ
65,CD163
66,CSF1R
67,MSR1
68,FPR3
69,C1QC
70,SIGLEC1
71,VSIG4
72,CD14
73,IL1B
74,MS4A6A
75,APOC1
76,LILRB4
77,F13A1
78,CD300E
79,HAMP
80,CD300C
81,SH2D1B
82,KLRF1
83,NCR1
84,CLIC3
85,NMUR1
86,GNLY
87,CD160
88,S1PR5
89,FGFBP2
90,GNPTAB
91,UBASH3A
92,THEMIS
93,CD28
94,ITK
95,BCL11B
96,CD5
97,IL7R
