,gene
0,CD28
1,CD3D
2,CD3G
3,CD5
4,CD6
5,CHRM3-AS2
6,CTLA4
7,FLT3LG
8,ICOS
9,MAL
10,MGC40069
11,PBX4
12,SIRPG
13,THEMIS
14,TNFRSF25
15,TRAT1
16,CD8B
17,CD8A
18,EOMES
19,FGFBP2
20,GNLY
21,KLRC3
22,KLRC4
23,KLRD1
24,BANK1
25,CD19
26,CD22
27,CD79A
28,CR2
29,FCRL2
30,IGKC
31,MS4A1
32,PAX5
33,CD160
34,KIR2DL1
35,KIR2DL3
36,KIR2DL4
37,KIR3DL1
38,KIR3DS1
39,NCR1
40,PTGDR
41,SH2D1B
42,ADAP2
43,CSF1R
44,FPR3
45,KYNU
46,PLA2G7
47,RASSF4
48,TFEC
49,CD1A
50,CD1B
51,CD1E
52,CLEC10A
53,CLIC2
54,WFDC21P
55,CA4
56,CEACAM3
57,CXCR1
58,CXCR2
59,CYP4F3
60,FCGR3B
61,HAL
62,KCNJ15
63,MEGF9
64,SLC25A37
65,STEAP4
66,TECPR2
67,TLE3
68,TNFRSF10C
69,VNN3
70,ACVRL1
71,APLN
72,BCL6B
73,BMP6
74,BMX
75,CDH5
76,CLEC14A
77,DIPK2B
78,EDN1
79,ADGRL4
80,EMCN
81,ESAM
82,ESM1
83,FAM124B
84,HECW2
85,HHIP
86,KDR
87,MMRN1
88,MMRN2
89,MYCT1
90,PALMD
91,PEAR1
92,PGF
93,PLXNA2
94,PTPRB
95,ROBO4
96,C
97,SHANK3
98,SHE
99,TEK
100,TIE1
101,VEPH1
102,VWF
103,COL1A1
104,COL3A1
105,COL6A1
106,COL6A2
107,DCN
108,GREM1
109,PAMR1
110,TAGLN
