,gene
0,ABCB4
1,ADAM28
2,ADAM6
3,AFF3
4,AKAP2
5,ARHGAP24
6,BANK1
7,BCL11A
8,BLK
9,BLNK
10,CD19
11,CD200
12,CD72
13,EBF1
14,FCMR
15,FCRLA
16,GNG7
17,HLA-DOB
18,KLHL14
19,MEF2C
20,P2RX5
21,PCDH9
22,PNOC
23,POU2AF1
24,RALGPS2
25,SPIB
26,STAP1
27,TCF4
28,TCL1A
29,VPREB3
30,ACVRL1
31,ADAMDEC1
32,ALDH1A2
33,CCRL2
34,CD86
35,CFB
36,CXCL2
37,CXCL3
38,EREG
39,ICAM1
40,INHBA
41,LILRB4
42,NUPR1
43,PDPN
44,SERPING1
45,SLC1A3
46,SLC6A12
47,SQOR
48,VSIG4
49,ACE
50,CISH
51,CLEC4A
52,CLIC2
53,COLEC12
54,ECM1
55,ENPP2
56,GATM
57,GFRA2
58,IL1R1
59,MAOA
60,MS4A4A
61,PLTP
62,PTGS1
63,RNASE6
64,SLC7A8
65,TREM2
66,WNT5B
67,CD1D
68,CD36
69,CSTA
70,FXYD6
71,GAS7
72,HPSE
73,KBTBD11
74,NRG1
75,NRGN
76,SMARCD3
77,TMEM170B
78,ABHD5
79,ADGRG3
80,BTNL8
81,C5AR2
82,CEACAM1
83,CEP19
84,CYP4F3
85,DAPK2
86,DGAT2
87,DOCK5
88,DPEP3
89,DYSF
90,FPR2
91,HAL
92,KCNJ15
93,LILRA2
94,LRRC4
95,LRRK2
96,LY96
97,MGAM
98,MME
99,NINJ2
100,PPP1R3B
101,REM2
102,REPS2
103,TECPR2
104,TLR1
105,TLR4
106,TMCC3
107,TMEM154
108,ABCB1
109,AUTS2
110,COLGALT2
111,EOMES
112,FASLG
113,GK5
114,GNG2
115,HOPX
116,KLRD1
117,MATK
118,MLC1
119,NCALD
120,NLRC3
121,PDGFD
122,PLEKHF1
123,PPP2R2B
124,PYHIN1
125,RNF165
126,S1PR5
127,SAMD3
128,SBK1
129,SH2D2A
130,SLFN13
131,STAT4
132,TOGARAM2
133,TSPOAP1
134,TTC38
135,TXK
136,YPEL1
137,ZBTB16
138,FHIT
139,TRAT1
140,TSHZ2
141,TSPAN18
142,WNT7A
143,CD248
144,CD8A
145,CD8B
146,FCGBP
147,CCR4
148,CD5
149,CTLA4
150,FAM160B1
151,FAM46C
152,FOXP3
153,GCNT4
154,HPGD
155,ICOS
156,LAYN
157,LRRC32
158,PLCL1
159,RTKN2
160,SEMA3G
161,AATBC
162,FZD1
163,GRK3
164,GUCY1A3
165,KDM1B
166,LMO2
167,RNF144B
168,SLC2A6
169,TTYH2
