,gene
0,ACAP1
1,ADAM12
2,ADAM19
3,ADAM8
4,ADAP2
5,ADCY7
6,AIF1
7,AIM2
8,AKAP13
9,AKNA
10,ALOX5
11,ALPK1
12,AMICA1
13,AMPD1
14,AMPD3
15,ANKRD44
16,AP1S2
17,APBB1IP
18,APOBEC3G
19,ARAP1
20,ARHGAP15
21,ARHGAP18
22,ARHGAP22
23,ARHGAP25
24,ARHGAP26
25,ARHGAP30
26,ARHGAP9
27,ARL4C
28,ARNTL2
29,ARRB2
30,ARRDC4
31,ATM
32,ATP8B2
33,BACH1
34,BACH2
35,BANK1
36,BATF3
37,BCL11A
38,BCL11B
39,BCL2A1
40,BHLHE41
41,BIN2
42,BIRC3
43,BLK
44,BMP2K
45,BTLA
46,BTN3A2
47,C10orf54
48,C11orf21
49,C12orf35
50,C13orf18
51,C13orf31
52,C1orf162
53,C1orf38
54,C22orf9
55,C5AR1
56,C5orf20
57,C5orf39
58,C5orf56
59,CAMK4
60,CAP1
61,CARD11
62,CASP1
63,CBR3
64,CCDC88A
65,CCDC88B
66,CCL17
67,CCL19
68,CCL20
69,CCL22
70,CCL24
71,CCL4
72,CCL8
73,CCND2
74,CCNYL1
75,CCR1
76,CCR2
77,CCR3
78,CCR5
79,CCR7
80,CCRL2
81,CD160
82,CD19
83,CD1A
84,CD1B
85,CD1C
86,CD1D
87,CD1E
88,CD209
89,CD244
90,CD247
91,CD274
92,CD27
93,CD2
94,CD300A
95,CD37
96,CD38
97,CD3E
98,CD3G
99,CD40
100,CD53
101,CD58
102,CD5
103,CD69
104,CD6
105,CD79A
106,CD79B
107,CD7
108,CD80
109,CD83
110,CD84
111,CD86
112,CD8B
113,CD96
114,CD97
115,CDA
116,CDC42SE2
117,CDK6
118,CECR1
119,CELF2
120,CFLAR
121,CFP
122,CHI3L1
123,CHST11
124,CHST12
125,CHST2
126,CHST7
127,CLEC10A
128,CLEC2D
129,CLEC4A
130,CLEC4E
131,CLEC7A
132,CLECL1
133,CLIC2
134,CLIC3
135,CLN8
136,CORO1C
137,COTL1
138,CPM
139,CPNE5
140,CPVL
141,CR1
142,CREB5
143,CRLF2
144,CRTAM
145,CSF1R
146,CSF1
147,CSF2RA
148,CSF2RB
149,CSF2
150,CSK
151,CST7
152,CSTA
153,CTLA4
154,CTSL1
155,CTSW
156,CTSZ
157,CX3CR1
158,CXCL10
159,CXCL11
160,CXCL1
161,CXCL3
162,CXCL5
163,CXCL9
164,CXCR1
165,CXCR6
166,CYBA
167,CYBB
168,CYLD
169,CYP1B1
170,CYSLTR1
171,CYTH1
172,CYTH4
173,CYTIP
174,DAPP1
175,DEF6
176,DERL3
177,DFNA5
178,DGKA
179,DNAJC5B
180,DOCK10
181,DOCK2
182,DOCK8
183,DOK3
184,DPEP2
185,DPYD
186,DSE
187,DUSP2
188,DUSP6
189,EBI3
190,EFHD2
191,EHD4
192,EMILIN2
193,EMR2
194,EMR3
195,ENTPD1
196,EOMES
197,EREG
198,ERICH1
199,EVI2A
200,EVI2B
201,FABP5
202,FAIM3
203,FAM101B
204,FAM113B
205,FAM129C
206,FAM26F
207,FAM49A
208,FAM65B
209,FASLG
210,FAS
211,FCAR
212,FCER1A
213,FCGR2A
214,FCGR2B
215,FCGR2C
216,FCN1
217,FCRL1
218,FCRL2
219,FCRL3
220,FCRL5
221,FCRLA
222,FDX1
223,FERMT3
224,FGFBP2
225,FGL2
226,FGR
227,FKBP11
228,FLI1
229,FLJ10357
230,FLVCR2
231,FMNL1
232,FMNL2
233,FNBP1
234,FOXN2
235,FPR1
236,FPR2
237,FPR3
238,FSCN1
239,FXYD5
240,FYB
241,FYN
242,GBP1
243,GBP5
244,GGTA1
245,GIMAP2
246,GIMAP4
247,GIMAP5
248,GIMAP6
249,GIMAP7
250,GLIPR1
251,GLIPR2
252,GLIS3
253,GLT1D1
254,GMFG
255,GMIP
256,GNA15
257,GNG2
258,GNG7
259,GPR114
260,GPR132
261,GPR15
262,GPR171
263,GPR183
264,GPR18
265,GPR65
266,GPR84
