Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
X18RES04138_1R_T_S_R_RS_T	0	0.0316118135389474	0	0.0349789435996769	0	0.137393573108055	0.00768205310959599	0.00427912933949266	0	0	0	0.00716390705459449	0.0221738376014943	0	0.0450384474891651	0.0797981863262947	0.0131298474617189	0	0.0202697634945782	0	0	0.000860416589112033	9999	0.367771349781646	0.930817309766578	0.404379918712726
X18RES13642_1R_T_S_R_RS_T	0.00607695519538275	0.011805354021016	0	0.0145740629084273	0	0.0640945742705529	0.00163473096252258	0.0261572207118597	0	0	0.0170489325610516	0	0.00606885630852204	0.00849905865109996	0.026180666226193	0.134078918481686	0	0	0	0	0	0.00289696923680272	9999	0.356105529581503	0.937204580982049	0.319116299535117
X18RES04220_1R_T_S_R_RS_T	0	0.0032115645981709	0	0.00786363377664319	0	0.0334118941395779	0	0.00994207870251018	0	0	0.00745509319207899	0.00119587175918106	0.0127163116095035	0	0.00271862956476484	0.0637373455065161	0	0	0.0243636350246579	0	0.00186013105873104	0	9999	0.113626724381878	1.03586616100137	0.168476188932336
X18RES10409_1R_T_S_R_RS_T	0	0.00232344420828082	0	0.00767832241561043	0	0.0253971233434909	0	0.00651097242112056	0	0	0.000160181171681499	0.00259387981649007	0.00610129747125691	0.0901463858353661	0.000722658397114464	0.0975950807239438	0	0	0.0172053757485704	0	0	0	9999	0.419651753301655	0.919229532984913	0.256434721552926
X18RES10398_1R_T_S_R_RS_T	0.000991792308503482	0.00232875998031506	0	0.0150057465151928	0	0.154085079014498	0.00379244831707344	0	0	0	0.00447798429046792	0	0.0209531441286765	0	0.0154573947754933	0.0358742420139792	0.00270736864012044	0	0.0132341503967611	0	0.00143399362345612	0	9999	0.2006059897573	1.01985909300272	0.270342104004537
X18RES16182_1R_T_S_R_RS_T	0	0.00331529124261683	0	0.00976095539932938	0	0.0177034752884276	0	0.00436962836834651	0.000530444817486321	0	0.00647574969326984	0	0.00598550753342137	0	0.000286808510634148	0.0555473328391212	3.80353555980415e-05	0	0.0196744634558718	0	0	0.000212054947382474	9999	0.0887007324000371	1.0508977518537	0.123899747451506
X18RES16169_1R_T_S_R_RS_T	0	0.00592696138993703	0	0.0090031799323404	0	0.00801472880967501	0	0.0155627020117409	0.00173053712963319	0	0	0.00986398959140856	0.00409899999126332	0.0590104045023452	0.00608601555771823	0.0304331280254255	0	0	0	0.0161933968425164	0	0	9999	0.35068256917189	0.948424185473333	0.165924043784004
X18RES16067_1R_T_S_R_RS_T	0	0.0361936562446859	0	0.0119466548562762	0	0.0770483970856566	0.00846058534971812	0.0121222186774431	0	0	0.0122174251817028	0	0.00614567470617023	0	0.01562287183118	0.064059415628361	0	0	0.0249570084849244	0	0.00268073475247595	0	9999	0.165404773532572	1.01257727908526	0.271454642798594
X18RES13653_1R_T_S_R_RS_T	0	0.0624576283832961	0	0.00891789735339517	0.0163787232685422	0.0816401800814584	0.00431877647285033	0	0	0	0.0044562288703904	0.00112871297247278	0.00669531616707511	0.00725313916294002	0.0032559108814972	0.0564489203159804	0	0	0.0091356527649319	0	0	0	9999	0.303806596677975	0.962680735036328	0.26208708669483
X18RES16061_1R_T_S_R_RS_T	0.00486061322835882	0.00994663937362854	0	0.00605147556341178	0	0.0449038420374857	0	0.0117690110353171	0	0	0.000312427024989188	0	0.000795738863589384	0	0.00383432471056394	0.110522734048314	0.00683846633823184	0	0.010468543798017	0	0	0	9999	0.21058307608712	1.00598090417211	0.210303816021907
